id,alpha,delta,magnitude,diameter,axisRatio,posAngle,Common name,PGC,PGC2,Messier
IC3168,185.077245,27.920398,15.70,0.45,1.56,55,,PGC39793,,
IC3167,185.078383,9.544775,15.10,0.38,1.11,35,,PGC39795,,
NGC4283,185.086538,29.310876,12.07,0.88,1.06,150,,PGC39800,,
NGC4281,185.089686,5.386441,12.50,1.94,2.00,85,,PGC39801,,
IC3171,185.100221,25.560558,14.80,0.56,1.19,60,,PGC39796,,
NGC4282,185.101206,5.572823,14.70,0.57,1.67,100,,PGC39809,,
NGC4279,185.104225,-11.666537,14.00,0.66,1.43,40,,PGC39812,,
IC3170,185.110611,9.424251,15.00,0.35,1.06,60,,PGC39816,,
IC3174,185.123020,10.245163,15.60,0.32,1.79,125,,PGC39822,,
IC3173,185.125727,11.340934,15.60,0.43,1.56,85,,PGC39823,,
IC3175,185.139033,9.853384,15.50,0.47,2.38,50,,PGC39831,,
NGC4285,185.165852,-11.641928,14.00,0.55,1.79,45,,PGC39842,,
NGC4288,185.158829,46.291019,13.60,0.88,2.09,0,,PGC39840,,
NGC4286,185.175376,29.345871,14.10,0.85,1.72,155,,PGC39846,,
IC3184,185.194960,24.915552,15.60,0.50,1.92,45,,PGC39847,,
NGC4290,185.197644,58.092582,12.80,1.16,1.47,40,,PGC39859,,
NGC4287,185.202042,5.639796,15.20,0.65,2.78,75,,PGC39860,,
IC3187,185.227832,11.161801,15.60,0.30,1.35,100,,PGC39871,,
IC3188,185.229555,11.008899,15.10,0.39,1.32,55,,PGC39872,,
IC3186,185.231962,24.669025,15.00,0.49,1.39,150,,PGC39875,,
IC3193,185.255360,27.898779,15.70,0.61,2.95,130,,PGC39870,,
NGC4289,185.259600,3.721961,15.00,3.72,8.65,2,,PGC39886,,
NGC4295,185.290725,28.165107,15.00,0.53,1.28,170,,PGC39906,,
NGC4293,185.303712,18.382400,11.60,6.17,1.52,72,,PGC39907,,
NGC4292,185.318575,4.595711,12.21,1.11,1.56,10,,PGC39922,,
NGC4294,185.324112,11.511108,12.60,1.23,2.50,155,,PGC39925,,
NGC4297,185.364199,6.671197,16.00,0.34,2.39,170,,PGC39940,,
NGC4296,185.368285,6.653565,14.00,0.79,1.67,15,,PGC39943,,
NGC4298,185.386491,14.606125,11.34,2.34,1.85,135,,PGC39950,,
IC782,185.404033,5.765784,15.10,0.65,1.67,60,,PGC39962,,
NGC4299,185.418951,11.499929,12.80,2.17,1.07,,,PGC39968,,
NGC4300,185.422705,5.384836,13.90,1.34,2.78,40,,PGC39972,,
NGC4302,185.426987,14.597761,11.61,5.25,5.77,178,,PGC39974,,
NGC4319,185.432887,75.322508,13.00,1.51,1.72,130,,PGC39981,,
IC3199,185.440040,10.595630,15.40,0.51,1.67,175,,PGC39983,,
IC3203,185.440292,25.884606,15.70,0.96,4.56,145,,PGC39984,,
NGC4303,185.478868,4.473777,9.65,6.17,1.12,,,PGC40001,,M61
NGC4308,185.486881,30.074336,14.30,0.57,1.16,25,,PGC40011,,
IC3210,185.504074,28.431087,15.50,0.43,1.51,75,,PGC39987,,
IC3212,185.514111,28.186044,15.70,0.34,1.14,155,,PGC40036,,
NGC4305,185.515026,12.740918,13.80,1.29,2.00,30,,PGC40030,,
NGC4306,185.517029,12.787211,14.40,0.85,1.61,140,,PGC40032,,
NGC4307,185.523437,9.043553,13.40,2.52,5.00,25,,PGC40033,,
IC3209,185.525644,11.754741,15.30,0.73,3.85,150,,PGC40038,,
IC3211,185.530484,8.990565,15.50,0.18,1.77,110,,PGC40034,,
IC3213,185.531909,23.869595,15.70,0.49,1.73,0,,PGC40042,,
IC3215,185.542411,26.052157,15.70,1.41,3.62,94,,PGC40040,,
NGC4309,185.551454,7.144389,14.30,1.19,2.27,85,,PGC40051,,
NGC4304,185.553008,-33.484394,12.02,1.69,2.00,130,,PGC40055,,
IC3222,185.580950,28.831722,15.10,0.43,2.00,10,,PGC40065,,
IC3218,185.581129,6.927725,15.60,0.30,1.51,55,,PGC40067,,
IC783,185.411641,15.745094,14.60,0.56,1.09,110,,PGC39965,,
NGC4311,185.609564,29.208672,13.22,1.24,2.17,155,,PGC40086,,
NGC4310,185.609564,29.208672,13.22,1.24,2.17,155,,PGC40086,,
NGC4338,185.808075,28.894108,15.60,1.02,5.56,175,,PGC40205,,
NGC4301,185.613525,4.566303,12.99,0.39,1.11,15,,PGC40087,,
NGC4312,185.630662,15.537919,11.72,4.37,4.16,170,,PGC40095,,
NGC4314,185.633426,29.895504,10.58,2.80,1.98,150,,PGC40097,,
NGC4331,185.649330,76.173310,14.80,1.70,4.47,,,PGC40085,,
NGC4313,185.660480,11.800878,13.20,2.54,4.16,140,,PGC40105,,
NGC4316,185.675921,9.332811,14.00,1.78,5.00,110,,PGC40119,,
NGC4318,185.680378,8.198292,14.10,0.57,1.39,60,,PGC40122,,
NGC4332,185.695083,65.843697,13.20,1.42,2.50,140,,PGC40133,,
NGC4321,185.728875,15.822305,9.35,7.59,1.12,170,,PGC40153,,M100
NGC4320,185.740511,10.548318,15.30,0.37,1.06,115,,PGC40160,,
NGC4322,185.757201,15.905562,13.94,0.47,1.67,140,,PGC40171,,
NGC4335,185.757852,58.444549,13.70,0.99,1.22,155,,PGC40169,,
IC785,185.758546,-13.223722,15.00,0.55,1.92,80,,PGC40167,,
NGC4324,185.775728,5.250341,12.50,1.55,2.00,50,,PGC40179,,
IC3238,185.776551,14.458337,15.20,0.50,1.67,15,,PGC40182,,
NGC4325,185.777760,10.621235,15.00,0.67,1.47,10,,PGC40183,,
IC3239,185.789910,11.725981,15.60,1.33,2.11,55,,PGC40187,,
IC786,185.795629,-13.204574,15.00,0.64,1.25,170,,PGC40189,,
IC3243,185.797148,27.765701,15.70,0.50,2.00,60,,PGC40197,,
NGC4326,185.798473,6.072135,13.10,0.50,1.19,95,,PGC40192,,
IC3244,185.800962,14.388878,15.30,0.37,1.32,65,,PGC40196,,
IC3247,185.808075,28.894108,15.60,1.02,5.56,175,,PGC40205,,
NGC4330,185.821871,11.367981,14.00,3.47,4.28,60,,PGC40201,,
NGC4328,185.833494,15.820369,14.04,0.54,1.22,85,,PGC40209,,
NGC4329,185.836305,-12.558638,14.00,0.82,2.18,45,,PGC40212,,
NGC4333,185.842797,6.040740,14.80,0.52,1.39,70,,PGC40217,,
NGC4334,185.849485,7.473806,14.90,1.41,2.94,135,,PGC40218,,
IC3252,185.857920,+28.618056,,,,,,,,
NGC4346,185.866509,46.993789,12.30,2.13,2.78,95,,PGC40228,,
NGC4363,185.868330,74.952220,14.60,0.87,1.23,10,,PGC40233,,
NGC4336,185.874136,19.426906,13.60,1.09,1.67,165,,PGC40231,,
IC3255,185.894758,9.648658,15.30,0.35,1.39,130,,PGC40241,,
NGC4339,185.895583,6.081796,13.10,1.19,1.04,5,,PGC40240,,
NGC4340,185.897007,16.722345,12.40,1.60,1.35,40,,PGC40245,,
NGC4344,185.906040,17.540902,13.34,1.55,1.03,,,PGC40249,,
NGC4343,185.911215,6.954023,13.86,1.38,2.63,130,,PGC40251,,
IC3256,185.912513,7.053989,13.00,0.80,2.00,165,,PGC40252,,
NGC4342,185.912513,7.053989,13.00,0.80,2.00,165,,PGC40252,,
IC3258,185.935329,12.478320,14.30,0.59,3.34,50,,PGC40264,,
IC3253,185.938462,-34.622181,11.62,1.89,2.38,25,,PGC40265,,
IC3262,185.950700,27.394249,15.30,0.58,2.17,155,,PGC40271,,
IC3259,185.952071,7.185325,14.70,0.63,1.92,15,,PGC40273,,
IC3263,185.960776,28.199492,15.10,0.43,1.16,70,,PGC40270,,
NGC4341,185.972796,7.107267,14.50,0.76,2.50,95,,PGC40280,,
IC3260,185.972796,7.107267,14.50,0.76,2.50,95,,PGC40280,,
NGC4348,185.974678,-3.442787,13.60,1.78,3.85,35,,PGC40284,,
NGC4358,185.989583,58.380638,14.70,0.27,1.39,40,,PGC40314,,
NGC4350,185.990892,16.693356,11.08,2.22,2.38,30,,PGC40295,,
NGC4357,185.995227,48.779456,12.68,1.37,2.00,70,,PGC40296,,
NGC4353,186.001062,7.785177,14.60,1.40,1.35,64,,PGC40303,,
NGC4351,186.006500,12.205025,13.50,1.01,1.67,55,,PGC40306,,
NGC4337,186.022000,-58.125000,8.90,4.00,,,,,,
NGC4352,186.020925,11.218079,14.00,1.12,2.63,100,,PGC40313,,
IC3267,186.023042,7.041252,14.60,0.41,1.22,10,,PGC40317,,
IC3268,186.030958,6.607469,14.20,0.52,1.39,55,,PGC40321,,
NGC4349,186.048000,-61.866000,7.40,16.00,,,,,,
NGC4364,186.008538,58.385186,14.30,0.59,1.25,165,,PGC40309,,
NGC4362,186.047157,58.360590,15.00,0.60,2.00,40,,PGC40350,,
NGC4359,186.046083,31.521606,13.90,1.34,3.33,105,,PGC40330,,
IC3271,186.058003,7.953047,15.00,0.32,1.72,65,,PGC40337,,
IC3274,186.061317,9.266855,15.20,0.40,1.32,155,,PGC40344,,
NGC4356,186.060562,8.535803,14.30,1.98,6.26,40,,PGC40342,,
NGC4360,186.090393,9.292781,13.90,0.79,1.19,150,,PGC40363,,
IC3280,186.110415,+13.232778,15.00,0.70,,,,,,
NGC4365,186.117617,7.317519,11.50,6.31,1.35,40,,PGC40375,,
NGC4386,186.118284,75.528974,12.60,1.68,1.67,140,,PGC40378,,
NGC4361,186.128129,-18.784880,13.20,1.80,,,,,,
NGC4369,186.150850,39.382981,12.30,1.29,1.02,60,,PGC40396,,
IC3292,186.201481,18.195114,15.50,0.50,1.52,140,,PGC40425,,
NGC4370,186.228883,7.444567,13.84,1.03,1.67,80,,PGC40439,,
NGC4371,186.230972,11.704207,10.81,1.86,1.32,95,,PGC40442,,
IC3289,186.239405,-26.030642,14.07,0.74,1.04,50,,PGC40446,,
IC3296,186.240948,24.382842,15.60,0.42,1.47,105,,PGC40450,,
NGC4375,186.251974,28.558603,13.90,0.92,1.32,25,,PGC40449,,
NGC4374,186.265597,12.886983,10.49,6.46,1.12,133,,PGC40455,,M84
IC3300,186.270724,25.957482,15.30,0.97,3.85,80,,PGC40459,,
IC3290,186.287383,-39.775489,12.97,1.18,1.47,50,,PGC40470,,
NGC4384,186.300050,54.506131,13.50,0.67,1.52,80,,PGC40475,,
NGC4377,186.301381,14.762170,12.50,0.97,1.06,175,,PGC40477,,
IC3305,186.310417,11.849609,15.12,0.27,1.31,45,,PGC40488,,
NGC4379,186.311441,15.607432,11.72,1.23,1.16,100,,PGC40484,,
IC3303,186.313330,12.714662,14.24,0.45,1.52,75,,PGC40485,,
NGC4378,186.325427,4.925135,13.49,1.30,1.25,160,,PGC40490,,
NGC4376,186.325066,5.741148,13.90,0.60,1.61,140,,PGC40494,,
IC3308,186.325149,26.714338,15.40,1.32,3.47,60,,PGC40495,,
NGC4392,186.329007,45.847484,14.60,0.64,1.28,65,,PGC40499,,
NGC4391,186.328284,64.933477,13.80,0.75,1.11,85,,PGC40500,,
IC3309,186.333854,28.380995,15.70,1.05,2.33,94,,PGC40501,,
NGC4380,186.342408,10.016706,13.40,1.77,1.72,160,,PGC40507,,
NGC4382,186.350221,18.191081,10.20,7.76,1.29,,,PGC40515,,M85
NGC4383,186.356100,16.469900,12.12,1.01,1.72,15,,PGC40516,,
IC787,186.354626,16.124189,15.20,0.76,2.38,0,,PGC40517,,
IC3311,186.387925,12.260283,14.87,1.06,5.00,135,,PGC40530,,
NGC4389,186.396242,45.684669,12.64,1.83,2.08,95,,PGC40537,,
NGC4387,186.423654,12.810501,12.12,1.14,1.67,140,,PGC40562,,
NGC4385,186.428375,0.572577,14.12,1.22,2.27,95,,PGC40564,,
NGC4372,186.439292,-72.659083,9.85,18.60,,,,,,
NGC4388,186.445083,12.662069,11.02,5.50,4.07,91,,PGC40581,,
IC3323,186.463850,27.560791,13.80,3.02,1.35,15,,PGC40600,,
NGC4395,186.453597,33.546861,10.11,11.48,2.69,134,,PGC40596,,
NGC4390,186.461108,10.459031,13.70,0.61,1.32,100,,PGC40597,PGC40602,
NGC4393,186.463850,27.560791,13.80,3.02,1.35,15,,PGC40600,,
IC3322,186.475508,7.554822,14.70,1.17,4.55,160,,PGC40607,,
NGC4394,186.481819,18.213920,11.90,1.85,1.32,145,,PGC40614,,
IC3330,186.484572,30.843539,14.90,0.60,2.00,100,,PGC40612,,
IC3328,186.491349,10.053765,14.90,0.47,1.28,80,,PGC40616,,
NGC4396,186.495008,15.671467,12.58,1.14,2.95,125,,PGC40622,,
IC3327,186.511556,14.880362,15.50,0.42,1.22,60,,PGC40624,,
IC3331,186.522138,11.812214,15.20,0.37,1.78,60,,PGC40638,,
NGC4405,186.529738,16.180995,13.03,1.25,1.52,25,,PGC40643,,
NGC4402,186.531888,13.113316,12.55,2.64,3.84,90,,PGC40644,,
NGC4406,186.549225,12.945969,8.90,10.47,1.38,127,,PGC40653,,M86
NGC4403,186.553297,-7.684883,14.00,0.90,2.08,25,,PGC40656,,
NGC4404,186.567482,-7.680842,14.00,0.71,1.09,170,,PGC40666,,
NGC4408,186.571834,27.871155,15.20,0.41,1.22,35,,PGC40668,,
IC3336,186.582844,26.838410,15.50,0.51,2.95,70,,PGC40669,,
IC789,186.585502,7.460134,15.20,0.37,1.16,165,,PGC40673,,
NGC4414,186.613032,31.223507,10.12,2.71,1.52,160,,PGC40692,,
NGC4410,186.617894,9.019861,13.20,0.43,1.10,,,PGC40694,,
NGC4413,186.634296,12.610674,12.25,1.09,1.43,65,,PGC40705,,
IC3344,186.634957,13.578762,15.20,0.37,1.85,55,,PGC40706,,
IC3340,186.636253,16.844652,15.50,0.55,2.17,15,,PGC40708,,
IC790,186.647915,9.035489,15.20,0.46,1.43,95,,PGC40713,,
NGC4412,186.650343,3.964698,13.20,0.92,1.09,160,,PGC40715,,
NGC4415,186.668684,8.435721,14.20,0.66,1.16,160,,PGC40727,,
NGC4373,186.324243,-39.759790,11.05,2.06,1.35,40,,PGC40498,,
NGC4416,186.694687,7.919014,13.00,0.72,1.06,65,,PGC40743,,
IC3349,186.696096,12.453985,13.98,0.49,1.47,15,,PGC40744,,
NGC4411,186.624412,8.872245,14.40,1.33,1.07,,,PGC40695,,
IC3356,186.710388,11.559017,15.19,1.50,1.67,0,,PGC40761,,
NGC4417,186.710869,9.584265,12.20,2.05,3.33,50,,PGC40756,,
IC3355,186.714442,13.173025,14.86,1.10,2.20,172,,PGC40754,,
IC3357,186.713943,9.777499,15.40,0.30,1.93,165,,PGC40757,,
IC3358,186.726762,11.663567,13.52,0.42,1.32,130,,PGC40764,,
NGC4418,186.727586,-0.877617,13.37,0.94,2.00,60,,PGC40762,,
NGC4419,186.735211,15.047414,11.16,2.40,2.63,130,,PGC40772,,
NGC4420,186.743487,2.494368,12.70,1.23,2.17,10,,PGC40775,,
IC791,186.747816,22.639577,14.20,0.66,1.28,165,,PGC40783,,
NGC4421,186.760557,15.461492,11.60,1.60,1.35,10,,PGC40785,,
IC3363,186.763762,12.560472,14.54,0.42,2.00,110,,PGC40786,,
IC792,186.786530,16.325411,14.80,0.63,2.18,60,,PGC40800,,
NGC4423,186.787383,5.880225,14.40,0.94,4.16,20,,PGC40801,,
IC3367,186.791955,26.957400,15.70,0.41,1.25,75,,PGC40812,,
IC3365,186.797317,15.896469,14.36,0.40,2.38,65,,PGC40811,,
NGC4424,186.798226,9.420647,13.10,1.63,2.63,100,,PGC40809,,
NGC4422,186.800447,-5.830917,14.50,0.70,1.02,135,,PGC40813,,
NGC4425,186.805567,12.734775,11.83,1.89,2.94,25,,PGC40816,,
NGC4441,186.835008,64.801567,13.50,0.87,1.72,175,,PGC40836,,
IC3371,186.842719,10.866783,15.00,0.80,5.50,54,,PGC40839,,
NGC4430,186.860025,6.262770,13.40,0.94,1.22,100,,PGC40851,,
NGC4429,186.860433,11.107664,11.40,5.75,2.24,95,,PGC40850,,
NGC4431,186.864091,12.290289,12.89,0.93,1.61,175,,PGC40852,,
NGC4428,186.867933,-8.167894,14.50,1.21,2.38,75,,PGC40860,,
NGC4432,186.887312,6.233200,15.00,0.28,1.51,10,,PGC40875,,
IC3374,186.889522,10.003782,15.60,0.90,1.91,155,,PGC40876,,
NGC4434,186.902822,8.154345,13.20,0.80,1.02,30,,PGC40886,,
IC3370,186.905533,-39.337847,12.12,1.71,1.19,55,,PGC40887,,
NGC4433,186.910875,-8.278450,13.40,1.01,2.50,5,,PGC40894,,
NGC4435,186.918762,13.079022,10.80,2.81,1.26,0,,PGC40898,,
NGC4436,186.921810,12.315887,12.98,0.96,2.38,110,,PGC40903,,
NGC4438,186.940294,13.008808,10.17,8.91,1.78,205,The Eyes,PGC40914,,
IC3376,186.959741,26.993551,14.40,0.61,1.32,95,,PGC40920,,
NGC4456,186.968309,-30.097537,14.08,0.79,2.17,155,,PGC40925,PGC40922,
NGC4440,186.973193,12.293275,11.72,1.50,1.47,25,,PGC40927,,
NGC4442,187.016173,9.803730,11.20,4.79,2.40,87,,PGC40950,,
NGC4446,187.028293,13.911767,15.00,0.43,1.31,120,,PGC40962,,
IC794,187.035874,12.093298,13.44,0.55,1.52,105,,PGC40964,,
NGC4449,187.046325,44.093558,9.64,5.25,1.59,46,,PGC40973,,
IC3383,187.051282,10.297624,15.18,1.53,1.41,179,,PGC40970,,
NGC4447,187.052199,13.899219,15.20,0.44,1.16,140,,PGC40979,,
IC3382,187.056498,13.570573,16.00,0.64,4.16,150,,PGC40954,,
IC3381,187.061958,11.789822,14.42,0.52,1.39,105,,PGC40985,,
NGC4448,187.064283,28.620300,11.90,1.91,1.66,121,,PGC40988,,
NGC4445,187.066569,9.436400,13.70,1.60,5.01,105,,PGC40987,,
NGC4439,187.119000,-60.097000,8.40,4.00,,,,,,
IC3391,187.113662,18.415303,13.90,0.88,1.67,70,,PGC41013,,
IC3388,187.116889,12.823702,14.73,0.50,1.35,73,,PGC41018,,
NGC4450,187.123296,17.084993,10.08,5.62,1.32,173,,PGC41024,,
IC795,187.130591,23.304921,15.30,0.53,2.00,160,,PGC41026,,
NGC4444,187.151738,-43.261711,13.00,1.02,1.14,75,,PGC41043,,
NGC4451,187.168992,9.258925,13.40,0.78,1.56,170,,PGC41050,,
IC3394,187.171732,26.798338,16.00,0.43,1.19,140,,PGC41073,,
IC3393,187.173770,12.915907,14.24,0.60,2.08,135,,PGC41054,,
IC3392,187.180319,14.999434,13.30,1.67,2.27,40,,PGC41061,,
NGC4452,187.180408,11.755056,11.98,2.80,4.67,32,,PGC41060,,
NGC4455,187.183851,22.820427,15.50,1.38,3.47,16,,PGC41066,,
NGC4460,187.189821,44.864236,12.50,2.04,3.57,40,,PGC41069,,
NGC4453,187.195238,6.511919,15.40,0.41,2.77,155,,PGC41072,,
NGC4454,187.211432,-1.939187,11.87,1.29,1.28,40,,PGC41083,,
NGC4484,187.219483,-11.652094,13.90,0.58,1.39,90,,PGC41087,,
NGC4458,187.239839,13.241930,12.07,1.04,1.02,40,,PGC41095,,
NGC4457,187.245939,3.570615,11.90,1.72,1.39,75,,PGC41101,,
IC3402,187.247024,28.861995,15.16,0.77,5.54,5,,PGC41100,,
NGC4459,187.250137,13.978563,11.60,2.74,1.20,110,,PGC41104,,
IC3403,187.256092,24.632669,15.70,0.27,1.62,65,,PGC41105,,
IC3406,187.260971,27.640311,15.70,0.44,1.79,75,,PGC41116,,
NGC4461,187.262542,13.183856,11.19,2.54,2.50,10,,PGC41111,,
IC3407,187.265954,27.778867,14.70,0.66,1.67,145,,PGC41112,,
IC3410,187.275719,19.004805,15.70,0.35,1.16,175,,PGC41122,,
NGC4462,187.338051,-23.166672,11.54,2.10,2.63,120,,PGC41150,,
IC3409,187.338447,14.789297,17.00,0.36,1.07,60,,PGC41147,,
NGC4464,187.338724,8.156613,13.50,0.67,1.19,5,,PGC41148,,
IC3412,187.344364,9.989025,15.40,1.40,1.40,-87,,PGC41152,,
IC3413,187.343821,11.433876,15.20,0.50,1.52,0,,PGC41155,,
NGC4465,187.348067,8.026008,15.40,0.26,1.67,95,,PGC41157,,
IC796,187.360006,16.404539,14.07,1.02,2.17,145,,PGC41160,,
NGC4469,187.366654,8.750175,12.60,2.70,3.03,85,,PGC41164,,
IC3414,187.369877,6.771820,14.20,0.57,1.85,5,,PGC41166,,
NGC4467,187.376020,7.992854,15.20,0.37,1.11,35,,PGC41169,,
NGC4466,187.377369,7.696424,14.70,0.73,2.04,102,,PGC41170,,
NGC4468,187.378718,14.049078,14.20,0.84,1.35,60,,PGC41171,,
IC3416,187.395663,10.793102,15.30,0.53,2.04,72,,PGC41178,,
NGC4470,187.407528,7.824246,12.90,0.85,1.52,5,,PGC41189,,
IC3421,187.410967,26.230625,15.00,0.30,1.19,0,,PGC41204,,
NGC4471,187.404377,7.932742,15.92,0.26,1.31,65,,PGC41185,,
IC3418,187.432997,11.404686,16.50,1.50,1.50,45,,PGC41207,,
NGC4472,187.444900,8.000400,12.17,10.96,1.23,157,,PGC41220,,M49
NGC4475,187.448219,27.243327,14.60,0.64,1.57,10,,PGC41225,,
NGC4481,187.451354,64.033914,14.30,0.62,2.38,145,,PGC41222,,
NGC4473,187.453658,13.429319,10.20,4.17,1.70,95,,PGC41228,,
NGC4474,187.473082,14.068578,12.60,1.62,1.79,80,,PGC41241,,
NGC4463,187.466000,-64.800000,7.20,5.00,,,,,,
IC3425,187.484953,10.615343,15.30,0.33,1.85,30,,PGC41244,,
NGC4476,187.496155,12.348692,12.19,1.02,1.39,25,,PGC41255,,
NGC4477,187.509148,13.636540,10.42,2.44,1.19,15,,PGC41260,,
NGC4482,187.543019,10.779469,14.20,0.69,1.67,135,,PGC41272,,
IC3427,187.543019,10.779469,14.20,0.69,1.67,135,,PGC41272,,
IC3430,187.570848,9.085136,15.40,1.03,2.95,111,,PGC41294,,
NGC4478,187.572567,12.328553,11.45,1.25,1.19,140,,PGC41297,,
NGC4479,187.576548,13.577645,12.44,1.06,1.61,15,,PGC41302,,
NGC4480,187.611622,4.246576,13.40,1.17,1.85,175,,PGC41317,,
IC3434,187.613600,18.809814,15.40,0.50,2.17,55,,PGC41324,,
IC3432,187.615996,14.160239,15.10,0.51,1.92,60,,PGC41320,,
IC3436,187.624732,19.673032,15.00,0.53,1.61,135,,PGC41323,,
NGC4485,187.629638,41.701172,11.93,1.04,1.39,175,,PGC41326,,
NGC4490,187.643700,41.640500,9.79,6.76,3.16,151,,PGC41333,,
IC3435,187.665800,15.129803,15.70,0.63,2.94,140,,PGC41338,,
NGC4483,187.669351,9.015664,13.40,1.07,1.67,65,,PGC41339,,
IC3437,187.691251,11.343160,15.50,0.27,1.43,75,,PGC41350,,
NGC4486,187.705931,12.391123,8.63,9.12,1.15,,,PGC41361,,M87
NGC4488,187.714053,8.359999,13.80,1.49,2.94,150,,PGC41363,,
NGC4489,187.717697,16.758852,13.20,0.98,1.04,150,,PGC41365,,
NGC4491,187.737963,11.483527,12.55,1.66,1.91,147,,PGC41376,,
NGC4492,187.748791,8.077896,14.10,1.04,1.14,50,,PGC41383,,
NGC4487,187.768638,-8.054041,11.70,1.27,1.32,75,,PGC41399,,
IC3441,187.768424,28.852701,15.11,0.48,1.19,140,,PGC41412,,
NGC4493,187.784873,0.613708,14.85,0.64,1.25,140,,PGC41409,,
IC3443,187.815557,12.331780,14.95,0.32,1.16,110,,PGC41421,,
IC3442,187.834098,14.115186,15.40,0.95,1.28,20,,PGC41435,,
NGC4500,187.842351,57.964635,13.20,1.02,2.38,145,,PGC41436,,
NGC4495,187.845500,29.136500,13.46,0.86,2.17,130,,PGC41438,,
IC3446,187.846404,11.492819,15.63,0.25,1.19,55,,PGC41440,,
NGC4494,187.850163,25.775020,9.74,4.37,1.05,,,PGC41441,,
IC3451,187.850301,28.855188,14.65,0.49,1.39,100,,PGC41437,,
IC3450,187.853396,26.795539,16.00,0.27,1.72,170,,PGC89616,,
NGC4497,187.885507,11.624713,12.47,1.19,2.08,60,,PGC41457,,
IC3453,187.907259,14.859785,15.20,0.63,4.68,167,,PGC41466,,
IC3454,187.910783,27.495506,15.70,0.75,3.33,25,,PGC41468,,
NGC4498,187.914845,16.852674,12.80,1.58,2.17,130,,PGC41472,,
NGC4496,187.913426,3.939345,11.71,1.10,1.92,65,,PGC41471,,
NGC4529,187.926527,20.481644,15.60,0.98,1.38,,,PGC41482,PGC41463,
NGC4510,187.946772,64.233772,14.20,0.68,1.51,150,,PGC41489,,
IC3457,187.963933,12.656986,14.56,1.20,1.33,150,,PGC41494,,
IC797,187.978133,15.123919,13.90,0.88,1.79,100,,PGC41504,,
IC3459,187.983492,12.173917,14.83,0.53,2.27,155,,PGC41505,,
NGC4501,187.996469,14.420319,13.18,7.76,1.70,138,,PGC41517,,M88
NGC4513,188.006393,66.332592,14.10,0.74,1.47,20,,PGC41527,,
IC3461,188.011446,11.889767,14.88,0.33,1.25,160,,PGC41529,,
NGC4502,188.013975,16.687708,14.80,0.61,1.72,45,,PGC41531,,
NGC4499,188.020630,-39.982598,13.58,1.12,1.47,95,,PGC41537,,
NGC4503,188.025969,11.176378,11.07,2.04,1.92,10,,PGC41538,,
NGC4511,188.033860,56.471111,14.00,0.67,1.52,10,,PGC41560,,
NGC4506,188.043847,13.419674,13.63,0.96,1.61,105,,PGC41546,,
IC3468,188.059216,10.251437,14.60,0.55,1.16,155,,PGC41552,,
NGC4504,188.072589,-7.563584,12.10,1.22,1.28,130,,PGC41555,,
IC3473,188.079472,18.244733,15.40,1.10,1.83,147,,PGC41558,,
IC3471,188.095044,16.018874,15.70,1.00,1.78,1,,PGC41567,,
IC3470,188.097304,11.263211,15.00,0.49,1.16,0,,PGC41573,,
IC798,188.139178,15.415398,15.30,0.36,1.06,100,,PGC41589,,
IC3474,188.153865,2.663769,15.00,2.24,6.59,37,,PGC41599,,
IC3475,188.170771,12.770539,13.29,1.00,1.15,84,,PGC41606,,
IC3476,188.173933,14.051614,13.50,0.73,1.43,165,,PGC41608,,
NGC4514,188.179015,29.712377,13.98,0.51,1.02,80,,PGC41610,,
IC3478,188.184111,14.196182,15.00,0.55,1.28,120,,PGC41614,,
NGC4517,188.189942,0.115039,11.10,10.00,6.45,86,,PGC41618,,
NGC4521,188.198551,63.939185,13.00,1.73,3.57,165,,PGC41621,,
NGC4512,188.140299,63.877701,14.70,0.53,3.33,90,,PGC41601,,
IC3481,188.217732,11.404355,14.80,0.56,1.16,70,,PGC41634,,
IC3484,188.272125,17.402989,15.40,0.43,1.04,85,,PGC41655,,
NGC4515,188.270688,16.265525,13.30,0.75,1.11,30,,PGC41652,,
NGC4509,188.277083,32.090931,14.10,0.61,2.00,40,,PGC41660,,
IC3568,188.278562,82.563945,10.73,0.35,1.11,55,,PGC41662,,
NGC4516,188.281405,14.574930,13.90,1.20,2.08,0,,PGC41661,,
IC3488,188.285194,26.349372,15.60,0.41,1.04,65,,PGC41671,,
IC3491,188.287217,27.094489,16.00,0.50,3.34,10,,PGC86322,,
IC3483,188.291910,11.347340,15.00,0.43,1.61,0,,PGC41670,,
NGC4518,188.298983,7.851634,15.00,0.77,1.92,0,,PGC41674,,
IC3489,188.307076,12.246974,15.20,0.45,1.39,5,,PGC41683,,
IC3494,188.307128,27.584060,,0.27,2.94,145,,PGC1812401,,
IC3490,188.307926,10.928537,15.60,1.67,2.00,-11,,PGC41681,,
IC3492,188.332383,12.853547,15.30,0.32,1.28,50,,PGC41698,,
IC3496,188.371050,26.738072,16.50,0.22,1.36,50,,PGC86323,,
IC3495,188.375019,26.779647,17.00,0.35,1.67,90,,PGC86324,,
NGC4519,188.376158,8.654461,12.80,2.63,1.29,148,,PGC41719,,
NGC4522,188.415238,9.174872,13.60,1.46,3.57,35,,PGC41729,,
IC3502,188.427495,+26.612500,,,,,,,,
IC3499,188.437466,10.995726,14.50,0.88,2.78,125,,PGC41738,,
