id,alpha,delta,magnitude,Spectral type,HD,HIP,Common name
18 Ori,79.017228,11.341355,5.51,A0V,HD34203,HIP24555,
AE Aur,79.075622,34.312318,5.96,O9.5V,HD34078,HIP24575,
12 Aur,79.112846,46.416059,6.95,B2Ve,HD33988,,
13 alf Aur,79.172328,45.997991,0.08,G3III:,HD34029,HIP24608,Capella
omi Col,79.371203,-34.895201,4.83,K1IV,HD34642,HIP24659,
20 tau Ori,79.401619,-6.844408,3.59,B5III,HD34503,HIP24674,
16 Aur,79.544065,33.371602,4.54,K2.5IIIbCN-0.5,HD34334,HIP24727,
17 AR Aur,79.578734,33.767366,6.14,B9V+B9.5V,HD34364,HIP24740,
15 lam Aur,79.785314,40.099051,4.71,G1.5IV-VFe-1,HD34411,HIP24813,
21 Ori,79.796750,2.595800,5.33,F5III-IV,HD34658,HIP24817,
109 n Tau,79.819192,22.096506,4.95,G8III,HD34559,HIP24822,
zet Pic,79.842229,-50.605967,5.45,F6IV,HD35072,HIP24829,
18 Aur,79.848974,33.985388,6.49,A7V,HD34499,HIP24832,
15 Cam,79.866081,58.117365,6.12,B5V,HD34233,HIP24836,
6 lam Lep,79.893850,-13.176789,4.29,B0.5V,HD34816,HIP24845,
7 nu. Lep,79.995930,-12.315586,5.28,B7/8V,HD34863,HIP24873,
19 Aur,80.003838,33.958054,5.03,A5II+,HD34578,HIP24879,
22 o Ori,80.440614,-0.382467,4.74,B2IV,HD35039,HIP25044,
20 rho Aur,80.451736,41.804572,5.21,B3V,HD34759,HIP25048,
kap Pic,80.592279,-56.134399,6.09,B8/9V,HD35580,HIP25098,
23 m Ori,80.708350,3.544459,5.00,B2IV/V,HD35149,HIP25142,
23 m Ori,80.712646,3.552220,7.18,B8/9,HD35148,HIP25145,
22 Aur,80.845302,28.936761,6.46,B9Vs,HD35076,HIP25192,
16 Cam,80.866011,57.544399,5.25,A0Vne,HD34787,HIP25197,
8 Lep,80.875650,-13.927353,5.23,B2IV,HD35337,HIP25202,
110 Tau,80.907120,16.699266,6.10,A2IV,HD35189,HIP25216,
29 e Ori,80.986782,-7.808063,4.12,G8+III,HD35369,HIP25247,
111 Tau,81.106097,17.383535,4.99,F8V,HD35296,HIP25278,
28 eta Ori,81.119236,-2.397148,3.35,B1V+B2:,HD35411,HIP25281,
27 p Ori,81.120404,-0.891335,5.07,G9III-IVBa0.5,HD35410,HIP25282,
21 sig Aur,81.163089,37.385349,5.00,K3III_CN+2,HD35186,HIP25292,
25 Ori,81.186781,1.846445,4.96,B1Vn,HD35439,HIP25302,
tet Pic,81.192867,-52.316245,6.23,A0V,HD35860,HIP25303,
24 gam Ori,81.282764,6.349703,1.64,B2V,HD35468,HIP25336,Bellatrix
113 Tau,81.523842,16.700160,6.23,B2Vn,HD35532,HIP25410,
112 bet Tau,81.572971,28.607452,1.65,B7III,HD35497,HIP25428,Alnath
lam Dor,81.580274,-58.912518,5.13,G8III,HD36189,HIP25429,
30 psi Ori,81.709289,3.095673,4.61,B2IV,HD35715,HIP25473,
115 Tau,81.792062,17.962211,5.40,B5V,HD35671,HIP25499,
114 o Tau,81.908684,21.936965,4.87,B2.5V,HD35708,HIP25539,
24 phi Aur,81.912016,34.475880,5.06,K3IIIFe1,HD35620,HIP25541,
116 Tau,81.940034,15.874050,5.51,B9.5Vn,HD35770,HIP25555,
117 Tau,82.006709,17.239130,5.76,M1III,HD35802,HIP25583,
9 bet Lep,82.061345,-20.759444,2.84,G5II-IIIa:,HD36079,HIP25606,Nihal
118 Tau,82.318750,25.150216,5.48,B9V,HD35943,HIP25695,
31 Ori,82.433258,-1.092238,4.71,K4III,HD36167,HIP25737,
17 Cam,82.542514,63.067219,5.41,M1III,HD35583,HIP25769,
31 Men,82.557845,-84.785102,6.19,B9.5IV/V,HD39780,HIP25776,
CK Ori,82.583014,4.204795,6.20,K2/3III,HD36217,HIP25785,
32 A Ori,82.696045,5.948137,4.20,B5IV+B7V,HD36267,HIP25813,
10 Lep,82.781783,-20.863658,5.53,A0V,HD36473,HIP25853,
eps Col,82.803115,-35.470507,3.87,K1II/III,HD36597,HIP25859,
33 n01 Ori,82.810549,3.292131,5.46,B3II/III,HD36351,HIP25861,
gam Men,82.970219,-76.340902,5.20,K2III,HD37763,HIP25918,
36 ups Ori,82.982751,-7.301538,4.63,O9.7V,HD36512,HIP25923,Thabit
34 del Ori,83.001667,-0.299095,2.41,O9.5IINwk,HD36486,HIP25930,Mintaka
34 del Ori,83.001693,-0.284541,6.83,B2Vsn,HD36485,,
119 CE Tau,83.053135,18.594234,4.33,M2Iab-Ib,HD36389,HIP25945,
18 Cam,83.140835,57.221071,6.48,F8V,HD36066,HIP25973,
25 chi Aur,83.181977,32.192022,4.79,B4Iab,HD36371,HIP25984,
11 alf Lep,83.182567,-17.822289,2.57,F0Ib,HD36673,HIP25985,Arneb
28 Dor,83.248190,-64.227515,5.34,G8/K0III,HD37297,HIP26001,
VV Ori,83.381027,-1.156072,5.34,B1V+B4.5V,HD36695,HIP26063,
120 Tau,83.381793,18.540230,5.69,B2IV-Ve,HD36576,HIP26064,
bet Dor,83.406317,-62.489827,3.76,F8/G0Ib,HD37350,HIP26069,
35 Ori,83.476177,14.305568,5.59,B3V,HD36653,HIP26093,
38 n02 Ori,83.569889,3.766906,5.33,A1V,HD36777,HIP26126,
37 phi01 Ori,83.705158,9.489580,4.41,B0III,HD36822,HIP26176,
39 lam Ori,83.784484,9.934164,3.47,O8III((f)),HD36861,HIP26207,Heka
39 lam Ori,83.785339,9.935028,5.61,B0.5V,HD36862,,
41 tet01 Ori A,83.815939,-5.387315,6.73,B0V,HD37020,HIP26220,
41 tet01 Ori B,83.817225,-5.385218,7.96,B1V,HD37021,,
41 tet01 Ori C,83.818610,-5.389701,5.13,O7Vp,HD37022,HIP26221,
41 tet01 Ori D,83.821906,-5.387936,6.70,B1.5Vp,HD37023,HIP26224,
43 tet02 Ori,83.845422,-5.416065,6.39,O9.5IVp,HD37041,HIP26235,
42 c Ori,83.846519,-4.838350,4.59,B1V+?,HD37018,HIP26237,
44 iot Ori,83.858258,-5.909901,2.77,O9IIIvar,HD37043,HIP26241,Hatysa
121 Tau,83.863044,24.039590,5.38,B2.5IV,HD36819,HIP26248,
iot Men,83.900745,-78.820869,6.03,B8III,HD38602,HIP26264,
45 Ori,83.914517,-4.856067,5.23,A9IV/V,HD37077,HIP26268,
46 eps Ori,84.053389,-1.201919,1.69,B0Ia,HD37128,HIP26311,Alnilam
40 phi02 Ori,84.226619,9.290671,4.09,G9.5IIIbFe-2.5,HD37160,HIP26366,
122 Tau,84.265565,17.040327,5.53,F0V,HD37147,HIP26382,
pi. Men,84.291195,-80.469121,5.67,G0V,HD39091,HIP26394,
19 Cam,84.312779,64.154688,6.18,A0V,HD36570,HIP26408,
nu.01 Col,84.318763,-27.871454,6.14,F0IV,HD37430,HIP26412,
123 zet Tau,84.411189,21.142544,3.03,B1IVe_shell,HD37202,HIP26451,
nu.02 Col,84.435907,-28.689690,5.31,F5V,HD37495,HIP26460,
26 Aur,84.658688,30.492418,5.41,A2.5V+F6III,HD37269,HIP26536,
48 sig Ori,84.686522,-2.600079,3.79,O9.5V+B0.2V(n),HD37468,HIP26549,
48 sig Ori,84.696688,-2.594589,6.46,B2IV-Vp_He,HD37479,,
49 d Ori,84.721180,-7.212830,4.80,A4Vn,HD37507,HIP26563,
22 Cam,84.772522,56.360044,7.05,F5,HD37070,HIP26587,
47 ome Ori,84.796443,4.121467,4.59,B3Ve,HD37490,HIP26594,
alf Col,84.912254,-34.074110,2.65,B9Ve,HD37795,HIP26634,Phakt
125 Tau,84.934170,25.897094,5.17,B3IV,HD37438,HIP26640,
50 zet Ori,85.189696,-1.942572,1.90,O9.2IbvarNwk,HD37742,HIP26727,Alnitak
50 zet Ori,85.189880,-1.943219,3.73,O9.5II-III(n),HD37743,,
126 Tau,85.323824,16.534146,4.84,B3IV,HD37711,HIP26777,
12 Lep,85.558162,-22.373714,5.89,A2/3V,HD38090,HIP26865,
51 b Ori,85.619301,1.474629,4.90,K1III,HD37984,HIP26885,
24 Cam,85.756975,56.581523,6.04,K0III,HD37601,HIP26942,
23 Cam,86.035193,61.476535,6.16,G5III:,HD37638,HIP27046,
13 gam Lep,86.110570,-22.421837,6.15,K3,HD38392,,
13 gam Lep,86.115794,-22.448385,3.60,F6V,HD38393,HIP27072,
del Dor,86.193208,-65.735498,4.36,A7V,HD39014,HIP27100,
27 omi Aur,86.475175,49.826271,5.46,A2VpCr,HD38104,HIP27196,
mu. Col,86.499563,-32.306434,5.18,O9.5V,HD38666,HIP27204,
26 Cam,86.626624,56.115576,5.93,A4Vn,HD38091,HIP27249,
129 Tau,86.689570,15.822495,5.99,B8IIIpHg(Mn),HD38478,HIP27265,
28 Cam,86.727523,56.923923,6.79,A0,HD38129,HIP27283,
14 zet Lep,86.738921,-14.821950,3.52,A2IV-V(n),HD38678,HIP27288,
131 Tau,86.804807,14.488324,5.72,A3Vn,HD38545,HIP27316,
bet Pic,86.821199,-51.066511,3.86,A6V,HD39060,HIP27321,
130 Tau,86.859148,17.729142,5.46,F0III,HD38558,HIP27338,
133 Tau,86.928781,13.899596,5.29,B2IV-V,HD38622,HIP27364,
53 kap Ori,86.939120,-9.669605,2.06,B0.5Ia,HD38771,HIP27366,Saiph
lam Men,86.950555,-72.702251,6.53,K0III,HD39810,HIP27369,
52 Ori,87.000974,6.454151,5.27,A5V,HD38710,HIP27386,
132 Tau,87.254046,24.567461,4.87,G9III,HD38751,HIP27468,
29 tau Aur,87.293490,39.181072,4.50,G8IIIbFe-1,HD38656,HIP27483,
134 Tau,87.387210,12.651322,4.88,B9IV,HD38899,HIP27511,
gam Pic,87.456917,-56.166666,4.49,K1III,HD39523,HIP27530,
eps Dor,87.473004,-66.901189,5.11,B6V,HD39844,HIP27534,
kap Men,87.569941,-79.361361,5.45,B9V,HD40953,HIP27566,
135 Tau,87.620452,14.305607,5.52,G9III:,HD39019,HIP27581,
29 Cam,87.641139,56.918938,6.59,A4IV-V,HD38618,HIP27592,
bet Col,87.739967,-35.768310,3.12,K1III_CN+1,HD39425,HIP27628,Wazn
31 ups Aur,87.760155,37.305570,4.74,M0III,HD38944,HIP27639,
15 del Lep,87.830400,-20.879092,3.85,K0IIIbFe-1.5CH0.5,HD39364,HIP27654,
55 Ori,87.841598,-7.518003,5.34,B2V,HD39291,HIP27658,
32 nu. Aur,87.872373,39.148524,3.95,K0.5IIICN0.5,HD39003,HIP27673,
30 Cam,88.071893,58.964089,6.13,A0Vs,HD38831,HIP27731,
137 Tau,88.092881,14.171786,5.59,A0VpSiSrCr,HD39317,HIP27743,
56 Ori,88.110161,1.855138,4.75,K2-IIb,HD39400,HIP27750,
lam Col,88.278673,-33.801363,4.87,B5V,HD39764,HIP27810,
136 Tau,88.331859,27.612261,4.55,A0V,HD39357,HIP27830,
36 Dor,88.525227,-63.089780,4.66,K2III-IV,HD40409,HIP27890,
54 chi01 Ori,88.595762,20.276173,4.40,G0V,HD39587,HIP27913,
30 ksi Aur,88.711529,55.706967,4.96,A2V,HD39283,HIP27949,
57 Ori,88.736195,19.749618,5.89,B2V,HD39698,HIP27965,
31 Cam,88.740942,59.888369,5.20,A2V,HD39220,HIP27971,
58 alf Ori,88.792939,7.407064,0.42,M1-M2Ia-Iab,HD39801,HIP27989,Betelgeuse
ksi Col,88.874645,-37.120683,4.96,K1IIICNII,HD40176,HIP28010,
U Ori,88.954878,20.175188,5.40,M6-9.5e,HD39816,,
sig Col,89.087263,-31.382439,5.51,F2III,HD40248,HIP28098,
16 eta Lep,89.101223,-14.167700,3.72,F2V,HD40136,HIP28103,
gam Col,89.384207,-35.283282,4.36,B2.5IV,HD40494,HIP28199,
139 Tau,89.498568,25.953911,4.82,B0/1II/III,HD40111,HIP28237,
59 Ori,89.601846,1.837108,5.89,A8V,HD40372,HIP28271,
60 Ori,89.706561,0.552982,5.20,A0V,HD40446,HIP28296,
1 Mon,89.754501,-9.382224,6.16,F2/3IV,HD40535,HIP28321,
2 Mon,89.767972,-9.558253,5.03,A3III,HD40536,HIP28325,
eta Col,89.786688,-42.815134,3.96,G8/K1II,HD40808,HIP28328,
33 del Aur,89.881743,54.284738,3.72,K0IIIb,HD40035,HIP28358,
34 bet Aur,89.882179,44.947433,1.90,A1IV-Vp,HD40183,HIP28360,Menkalinan
37 tet Aur,89.930292,37.212585,2.62,A0VpSi,HD40312,HIP28380,
35 pi. Aur,89.983741,45.936735,4.25,M3IIb,HD40239,HIP28404,
36 Aur,90.244009,47.901925,5.71,A1VpSi,HD40394,HIP28499,
141 Tau,90.423456,22.400995,6.36,B8IVe,HD40724,HIP28561,
3 Mon,90.460091,-10.597931,5.01,B5III/V,HD40967,HIP28574,
61 mu. Ori,90.595820,9.647273,4.12,A1Vm+F2V,HD40932,HIP28614,
38 Aur,90.824804,42.911498,6.10,K0III,HD40801,HIP28677,
64 Ori,90.864016,19.690563,5.13,B8V,HD41040,HIP28691,
62 chi02 Ori,90.979935,20.138452,4.63,B2Ia,HD41117,HIP28716,
1 Gem,91.030064,23.263344,4.15,G5III,HD41116,HIP28734,Propus
72 Col,91.084439,-32.172429,5.63,B2V,HD41534,HIP28756,
35 Cam,91.121336,51.573397,6.39,A7III,HD40873,HIP28765,
63 Ori,91.242429,5.419967,5.66,G7III:,HD41361,HIP28812,
66 Ori,91.243162,4.158662,5.62,G6II,HD41380,HIP28814,
17 Lep,91.246373,-16.484436,4.93,A3+K/M,HD41511,HIP28816,
39 Aur,91.264103,42.981636,5.87,F3V,HD41074,HIP28823,
S Lep,91.439790,-24.195560,6.82,M6+IIIa,HD41698,HIP28874,
18 tet Lep,91.538849,-14.935255,4.66,A0V,HD41695,HIP28910,
eta01 Dor,91.539091,-66.039621,5.69,A0V,HD42525,HIP28909,
40 Aur,91.646240,38.482647,5.34,kA7IVmF2/5IIISr,HD41357,HIP28946,
pi.01 Col,91.671016,-42.298800,6.15,A2mA5-A9,HD42078,HIP28957,
2 Gem,91.702747,23.638602,6.65,K0,HD41543,HIP28969,
tet Col,91.881803,-37.252919,4.99,B7III,HD42167,HIP29034,
67 nu. Ori,91.893024,14.768474,4.40,B3IV,HD41753,HIP29038,
19 Lep,91.923492,-19.165867,5.28,M1III,HD42042,HIP29048,
pi.02 Col,91.970248,-42.154041,5.49,A0V,HD42303,HIP29064,
nu. Dor,92.184424,-68.843412,5.04,B8V,HD43107,HIP29134,
3 Gem,92.433272,23.113465,5.75,B3Ia,HD42087,HIP29225,
37 Cam,92.495890,58.935693,5.36,G8III,HD41597,HIP29246,
alf Men,92.560302,-74.753044,5.07,G7V,HD43834,HIP29271,
del Pic,92.574619,-54.968643,4.72,B1/2(III)n,HD42933,HIP29276,
4 Gem,92.624726,22.997878,6.88,B9,HD42216,HIP29288,
eta02 Dor,92.812424,-65.589418,5.01,M2.5III,HD43455,HIP29353,
5 Gem,92.884606,24.420253,5.83,K0III,HD42398,HIP29379,
41 Aur,92.902303,48.713066,6.84,kA5hA5mF0(IV-V),HD42126,HIP29388,
41 Aur,92.902465,48.710988,6.15,A2Va+,HD42127,,
70 ksi Ori,92.984987,14.208765,4.48,B3IV,HD42560,HIP29426,
68 Ori,93.005589,19.790542,5.75,B9.5V,HD42509,HIP29433,
69 f01 Ori,93.013665,16.130406,4.92,B5Vn,HD42545,HIP29434,
6 BU Gem,93.079578,22.908515,6.39,M1-M2Ia-Iab,HD42543,HIP29450,
36 Cam,93.212761,65.718421,5.34,K1III-IIIbCH-0.5,HD41927,HIP29490,
71 Ori,93.711985,19.156448,5.20,F5.5IV-V,HD43042,HIP29650,
5 gam Mon,93.713890,-6.274774,3.96,K1III:,HD43232,HIP29651,
7 eta Gem,93.719355,22.506787,3.28,M2IIIa,HD42995,HIP29655,Tejat Prior
44 kap Aur,93.844535,29.498076,4.35,G8.5IIIb,HD43039,HIP29696,
72 f02 Ori,93.854702,16.143165,5.33,B7V,HD43153,HIP29704,
40 Cam,93.918903,59.998965,5.35,K3III,HD42633,HIP29730,
73 Ori,93.937352,12.551070,5.47,B9II-III,HD43247,HIP29736,
8 Gem,94.079362,23.970030,6.08,G8III,HD43261,HIP29789,
74 k Ori,94.110913,12.272163,5.04,F5V,HD43386,HIP29800,
kap Col,94.138065,-35.140515,4.37,G9IIIbCN0.5,HD43785,HIP29807,
9 Gem,94.244608,23.740912,6.25,B3Iab,HD43384,HIP29840,
75 l Ori,94.277583,9.942393,5.39,A2V,HD43525,HIP29850,
42 Aur,94.394361,46.423953,6.53,F0V,HD43244,HIP29884,
6 Mon,94.396354,-10.724992,6.75,F0IV,HD43760,HIP29885,
1 Lyn,94.478413,61.515285,5.05,M3III,HD42973,HIP29919,
43 Aur,94.570272,46.360443,6.32,K2III,HD43380,HIP29949,
10 Gem,94.726778,23.603283,6.55,G5,HD43740,HIP30003,
11 Gem,94.830400,23.469406,6.92,B0II,HD43818,HIP30046,
12 Gem,94.843848,23.274506,6.97,B9II,HD43836,HIP30049,
2 Lyn,94.905719,59.010981,4.43,A2Vs,HD43378,HIP30060,
7 Mon,94.928333,-7.822906,5.25,B2V,HD44112,HIP30073,
1 zet CMa,95.078300,-30.063367,2.99,B2.5V,HD44402,HIP30122,Furud
45 Aur,95.442210,53.452177,5.33,F6III+,HD43905,HIP30247,
4 Lyn,95.514798,59.372098,6.07,A2Vp,HD43812,HIP30272,
del Col,95.528437,-33.436399,3.85,G7II,HD44762,HIP30277,
3 Lyn,95.533717,61.759974,7.21,F0,HD43749,HIP30278,
pi.01 Dor,95.659482,-69.984045,5.54,K5III,HD45669,HIP30321,
2 bet CMa,95.674939,-17.955919,1.97,B1II-III,HD44743,HIP30324,Mirzam
nu. Pic,95.732626,-56.369967,5.60,A1mA3-A9,HD45229,HIP30342,
13 mu. Gem,95.740112,22.513583,2.87,M3IIIab,HD44478,HIP30343,Tejat Posterior
8 eps Mon,95.942023,4.592882,4.40,A8V(n),HD44769,HIP30419,
8 eps Mon,95.943691,4.595871,6.60,F5V,HD44770,HIP30422,
alf Car,95.987958,-52.695661,-0.74,A9II,HD45348,HIP30438,Canopus
46 psi01 Aur,96.224590,49.287892,4.75,K5-M1Iab-Ib,HD44537,HIP30520,
T Mon,96.304165,7.085711,5.98,G3Iabv+A0p,HD44990,HIP30541,
BL Ori,96.367393,14.721992,6.00,C-N5-,HD44984,HIP30564,
pi.02 Dor,96.369295,-69.690300,5.38,G8III,HD46116,HIP30565,
G Pup,96.431888,-48.176899,5.76,B9V,HD45572,HIP30591,
RR Lyn,96.607653,56.285096,5.54,kA3hA7VmF2,HD44691,HIP30651,
5 Lyn,96.703635,58.417408,5.20,K4III,HD44708,HIP30679,
9 Mon,96.753659,-4.355646,6.47,B4V,HD45418,HIP30700,
77 Ori,96.807338,0.299244,5.19,K1II,HD45416,HIP30717,
78 Ori,96.814964,-0.276001,5.54,K2/3III,HD45433,HIP30720,
15 Gem,96.944008,20.789535,6.52,K2III-IV,HD45352,HIP30757,
16 Gem,96.986131,20.496321,6.22,A2Vs,HD45394,HIP30769,
10 Mon,96.989869,-4.762154,5.04,B2V,HD45546,HIP30772,
lam CMa,97.042531,-32.580068,4.48,B4V,HD45813,HIP30788,
48 RT Aur,97.142034,30.493036,5.55,F5.5-G0Ib,HD45412,HIP30827,
11 bet Mon,97.204460,-7.033059,4.60,B4Veshell,HD45725,HIP30867,
11 bet Mon,97.206721,-7.034653,5.32,B3V:nne,HD45727,,
11 bet Mon,97.205928,-7.034400,5.00,B2Vn(e),HD45726,,
18 nu. Gem,97.240776,20.212135,4.14,B6IVe,HD45542,HIP30883,
61 Pic,97.368742,-56.852767,5.20,K0III,HD46355,HIP30932,
47 Aur,97.512391,46.685555,5.87,K4III,HD45466,HIP30972,
6 Lyn,97.696282,58.162633,5.86,K0.5IIIbFe0.5,HD45410,HIP31039,
19 Gem,97.905980,15.903504,6.38,A8V,HD46031,HIP31105,
4 ksi01 CMa,97.964026,-23.418422,4.33,B0.7IV,HD46328,HIP31125,
mu. Pic,97.992959,-58.753836,5.64,B9IVn,HD46860,HIP31137,
20 Gem,98.077273,17.784351,6.24,F7III,HD46136,HIP31158,
12 Mon,98.080016,4.855998,5.83,K0III,HD46241,HIP31159,
WW Aur,98.113270,32.454898,5.83,,HD46052,HIP31173,
13 Mon,98.225950,7.332970,4.50,A0I,HD46300,HIP31216,
7 Lyn,98.636667,55.353043,6.46,K0III:,HD46101,HIP31359,
14 Mon,98.692992,7.572482,6.46,A0Vs,HD46642,HIP31385,
N Car,98.744083,-52.975609,4.40,A0II,HD47306,HIP31407,
5 ksi02 CMa,98.764115,-22.964795,4.50,A0III,HD46933,HIP31416,
49 Aur,98.800259,28.022311,5.26,A0Vnn,HD46553,HIP31434,
23 Gem,99.008861,16.797029,6.72,F5,HD46781,HIP31525,
6 nu.01 CMa,99.095218,-18.659904,5.70,G8/K0III+F/G,HD47138,HIP31564,
UU Aur,99.136821,38.445505,5.25,C-N5-,HD46687,HIP31579,
7 nu.02 CMa,99.170990,-19.255880,3.91,K1.5III-IVFe1,HD47205,HIP31592,
11 Lyn,99.409946,56.857530,5.89,A2V,HD46590,HIP31665,
8 Lyn,99.422440,61.481236,5.94,G8IV-V,HD46480,HIP31676,
24 gam Gem,99.427960,16.399280,1.92,A1.5IV+,HD47105,HIP31681,Alhena
nu. Pup,99.440297,-43.195933,3.17,B8III,HD47670,HIP31685,
8 nu.03 CMa,99.472589,-18.237481,4.43,K1-III,HD47442,HIP31700,
53 Aur,99.595877,28.984338,5.74,B9Mn+F0m,HD47152,HIP31737,
Y Pup,99.656816,-48.220184,5.03,G8III,HD47973,HIP31765,
51 Aur,99.664737,39.390851,5.69,K5III,HD47070,HIP31771,
52 psi03 Aur,99.704918,39.902560,5.33,B8III,HD47100,HIP31789,
50 psi02 Aur,99.832613,42.488877,4.82,K2-III,HD47174,HIP31832,
54 Aur,99.887999,28.263132,6.03,B5/7,HD47395,HIP31852,
zet Men,100.012045,-80.813594,5.61,A3/5III,HD50506,HIP31897,
15 S Mon,100.244415,9.895756,4.68,O7V+B1.5/2V,HD47839,HIP31978,
25 Gem,100.337073,28.196640,6.43,G5Ib,HD47731,HIP32019,
26 Gem,100.601364,17.645302,5.21,A2V,HD48097,HIP32104,
55 psi04 Aur,100.770717,44.524449,5.02,K5III,HD47914,HIP32173,
27 eps Gem,100.983026,25.131125,2.98,G8Ib,HD48329,HIP32246,Mebsuta
30 Gem,100.997030,13.228000,4.49,K0+IIICa1,HD48433,HIP32249,
10 CMa,101.118613,-31.070526,5.17,B2V,HD48917,HIP32292,
28 Gem,101.189416,28.970939,5.44,K4III,HD48450,HIP32311,
9 alf CMa,101.287155,-16.716116,-1.46,A0mA1Va,HD48915,HIP32349,Sirius
31 ksi Gem,101.322351,12.895592,3.36,F5IV-V,HD48737,HIP32362,Alzirr
32 Gem,101.475830,12.693563,6.47,A9III,HD48843,HIP32404,
12 Lyn,101.558876,59.441673,4.87,A2.5V,HD48250,HIP32438,
16 Mon,101.635060,8.587158,5.92,B3V,HD48977,HIP32463,
56 psi05 Aur,101.684737,43.577425,5.25,F9V,HD48682,HIP32480,
13 Lyn,101.706293,57.169176,5.33,K0III-IV,HD48432,HIP32489,
11 CMa,101.712885,-14.425975,5.27,B8/9III,HD49229,HIP32492,
12 CMa,101.756181,-21.015403,6.08,B7II/III,HD49333,HIP32504,
O Car,101.827951,-55.539990,5.61,K5III,HD49877,HIP32531,
17 Mon,101.832626,8.037256,4.77,K4III,HD49161,HIP32533,
x Pup,101.839164,-37.929697,5.26,B8V,HD49591,HIP32537,
57 psi06 Aur,101.914900,48.789484,5.22,K0.5III,HD48781,HIP32562,
18 Mon,101.965200,2.412176,4.47,K0+III,HD49293,HIP32578,
alf Pic,102.047730,-61.941389,3.23,A8VnkA6,HD50241,HIP32607,
33 Gem,102.457651,16.202884,5.87,B7III,HD49606,HIP32753,
13 kap CMa,102.460247,-32.508478,3.89,B1.5Ve,HD50013,HIP32759,
A Car,102.463809,-53.622449,4.41,G4II,HD50337,HIP32761,
X Pup,102.477568,-46.614562,5.14,F5.5V,HD50223,HIP32765,
tau Pup,102.484038,-50.614539,2.93,K1III,HD50310,HIP32768,
35 Gem,102.606244,13.413179,5.67,K3III,HD49738,HIP32814,
58 psi07 Aur,102.691430,41.781231,4.97,K3III,HD49520,HIP32844,
42 Cam,102.737871,67.571934,5.12,B4IV,HD48879,HIP32864,
iot Vol,102.862438,-70.963410,5.39,B7III,HD51557,HIP32912,
36 d Gem,102.887693,21.761145,5.26,A2V,HD49908,HIP32921,
34 tet Gem,103.197245,33.961257,3.60,A2IV,HD50019,HIP33018,
59 Aur,103.255879,38.869148,6.10,F2V,HD50018,HIP33041,
14 Lyn,103.271035,59.448542,5.38,G8III,HD49618,HIP33048,
60 Aur,103.305851,38.438021,6.30,F5V:,HD50037,HIP33064,
15 CMa,103.387113,-20.224255,4.83,B1IV,HD50707,HIP33092,
43 Cam,103.426034,68.888311,5.10,B7III,HD49340,HIP33104,
61 psi08 Aur,103.487804,38.505019,6.44,B9.5pSi,HD50204,HIP33133,
16 omi01 CMa,103.533134,-24.184211,3.87,K2Iab,HD50877,HIP33152,
14 tet CMa,103.547495,-12.038628,4.08,K3/4III,HD50778,HIP33160,
38 e Gem,103.660992,13.177845,4.71,kA8mF0Vp,HD50635,HIP33202,
17 CMa,103.761408,-20.404877,5.79,A2V,HD51055,HIP33248,
37 Gem,103.827776,25.375695,5.75,G0V,HD50692,HIP33277,
19 pi. CMa,103.905960,-20.136497,4.66,F1.5V,HD51199,HIP33302,
18 mu. CMa,104.027691,-14.043431,5.09,K2/3III,HD51250,HIP33345,Isida
20 iot CMa,104.034269,-17.054239,4.38,B3Ib,HD51309,HIP33347,
psi09 Aur,104.133575,46.273999,5.87,B8IIIe,HD50658,HIP33377,
tet Men,104.143643,-79.420192,5.45,B9.5/A0III/IV,HD54239,HIP33384,
15 Lyn,104.319189,58.422761,4.35,G5III-IV,HD50522,HIP33449,
16 Lyn,104.404613,45.094094,4.89,A2Vn,HD50973,HIP33485,
t Pup,104.604537,-34.111690,5.07,B4IV/V,HD52092,HIP33558,
21 eps CMa,104.656453,-28.972086,1.50,B1.5II,HD52089,HIP33579,Adara
39 Gem,104.697543,26.081080,6.10,F7V,HD51530,HIP33595,
62 Aur,104.761864,38.052318,6.02,K2III,HD51440,HIP33614,
40 Gem,104.866386,25.914163,6.40,B8VpSi,HD51688,HIP33650,
41 Gem,105.065931,16.078996,5.69,K3-Ib,HD52005,HIP33715,
23 Car,105.214522,-51.402586,5.15,M1III,HD53047,HIP33779,
22 sig CMa,105.429782,-27.934830,3.47,K5Ib,HD52877,HIP33856,
42 ome Gem,105.603250,24.215446,5.18,G5IIa,HD52497,HIP33927,
19 Mon,105.728236,-4.239233,5.00,B2Vn(e),HD52918,HIP33971,
24 omi02 CMa,105.756134,-23.833292,3.02,B3Ia,HD53138,HIP33977,
23 gam CMa,105.939554,-15.633286,4.12,B8II,HD53244,HIP34045,Muliphein
H Pup,105.973342,-49.583939,4.92,A4IV,HD53811,HIP34059,
C Pup,106.011636,-42.337287,5.19,A3mA3-F0,HD53704,HIP34081,
43 zet Gem,106.027213,20.570298,3.79,G1Ib,HD52973,HIP34088,Mekbuda
44 Gem,106.326537,22.637458,6.01,B8Vn,HD53257,HIP34182,
D Pup,106.779491,-40.893270,5.78,B3V,HD54475,HIP34339,
R Gem,106.838627,22.703541,7.68,S3.5-6.5/6e,HD53791,,
45 Gem,107.091831,15.930677,5.48,G8III,HD54131,HIP34440,
25 del CMa,107.097850,-26.393200,1.84,F8Ia,HD54605,HIP34444,Wezen
gam01 Vol,107.176543,-70.497091,5.62,F0/3,HD55864,HIP34473,
