catalog,description,count,authors,year,"vizier query, file or xpsd",vizier catalog id,type,"magnitude filter selectors, ranges and (default max)",other options,sky zone
PPMX,Position and Proper Motions eXtended (PPMX) catalog,18088919,Roeser+,2008,vizier,I/312/sampl,stars,[Cmag|Rmag|Bmag|Vmag|Jmag|Hmag|Kmag] min – max (15),,
PPMXL,"Position and Proper Motions eXtended (PPMXL) catalog (910,469,430 objects)",910469430,Roeser+,2010,vizier,I/317,stars,[Jmag|Hmag|Kmag|b1mag|b2mag|r1mag|r2mag|imag] min – max (15),,
SDSS R9,"Sloan Digital Sky Survey (SDSS) Photometric Catalog R9 (469,053,874 objects)",469053874,Adelman-McCarthy+,2012,vizier,V/139,"stars, galaxies",[umag|gmag|rmag|imag|zmag] min – max,"Class [All objects, Stars, Galaxies]",
SDSS R7,"Sloan Digital Sky Survey (SDSS) Photometric Catalog R7 (357,175,411 objects)",357175411,Adelman-McCarthy+,2009,vizier,II/294,"stars, galaxies",[umag|gmag|rmag|imag|zmag] min – max,"Class [All objects, Stars, Galaxies]",
Sharpless,Catalog of HII Regions - Sharpless (313 nebulae),313,"Sharpless, Stewart",1959,vizier,VII/20/catalog,"nebulae, HII region",,,north of declination 270
TYCHO-2,"Tycho-2 catalog (2,539,913 stars)",2539913,Hog+,2000,vizier,I/259/tyc2,stars,[Vtmag|BTmag] min – max,,
UCAC3,"UCAC3 catalog (100,765,502 objects)",100765502,Zacharias+,2009,vizier,I/315/out,stars,[f.mag|a.mag|Jmag|Hmag|Kmag|Bmag|R2mag|Imag] min – max (15),,
USNO-B1,"US Naval Observatory USNO-B1.0 catalog (1,045,175,762 objects)",1045175762,Monet+,2003,vizier,I/284/out,stars,[B1tmag|B2mag|R1mag|R2mag|Imag] min – max (15),,all
VdB,Catalog of Reflection Nebulae - Van den Bergh (159 nebulae),159,"Van den Berg, Sidney",1966,vizier,VII/21/catalog,"nebulae, reflection",min – max,,north of delta = -33°
WDS,"Washington Visual Double Star Catalog (Mason+ 2001-2020) (156,557 objects)",156557,Mason+,2020,vizier,B/wds/wds,stars,min – max (25),,
