id,alpha,delta,diameter
Sh 2-33,239.97218,-1.60734,35
Sh 2-7,240.09216,-22.94039,240
Sh 2-36,241.36383,0.38189,45
Sh 2-24,242.77103,-7.06216,30
Sh 2-73,242.79128,21.87157,75
Sh 2-23,243.35192,-8.35967,50
Sh 2-9,245.28615,-25.58476,80
Sh 2-27,249.28898,-10.56669,480
Sh 2-2,255.60157,-38.10458,60
Sh 2-3,258.08157,-38.45955,12
Sh 2-10,259.32501,-34.02022,60
Sh 2-4,259.58939,-39.30239,5
Sh 2-5,259.6829,-38.46859,100
Sh 2-8,259.96354,-35.8672,120
BFS 65,260.14548,-38.96639,6
Sh 2-11,261.25249,-34.211,90
Sh 2-13,262.2848,-31.53933,40
Sh 2-12,263.49196,-32.53354,120
Sh 2-17,266.29371,-28.85326,25
Sh 2-16,266.62162,-29.30168,20
Sh 2-20,266.79316,-28.75084,10
Sh 2-18,266.87113,-29.21713,4
Sh 2-19,267.02062,-29.13307,12
Sh 2-15,267.23484,-31.3154,30
Sh 2-21,267.59411,-28.88028,5
Sh 2-22,268.34534,-24.97658,60
Sh 2-26,269.58644,-23.43719,20
Sh 2-28,270.13634,-23.41785,40
BFS 1,270.48788,-23.68282,2
Sh 2-30,270.63403,-23.01543,20
Sh 2-25,271.09165,-24.32989,90
Sh 2-46,271.53592,-14.14426,25
Sh 2-34,271.75132,-21.65998,90
Sh 2-38,272.18259,-18.25784,3
Sh 2-29,272.41442,-23.95679,40
Sh 2-32,272.43758,-23.64001,8
Sh 2-31,272.53844,-23.78952,8
Sh 2-42,272.57482,-16.80592,3
Sh 2-40,273.00475,-17.73717,15
Sh 2-70,273.65643,7.04963,5
Sh 2-41,273.95734,-18.23256,90
Sh 2-35,273.96832,-20.2492,20
Sh 2-43,274.10287,-17.39851,15
Sh 2-44,274.12433,-16.73173,60
Sh 2-39,274.20965,-18.66467,3
Sh 2-37,274.44033,-19.71357,20
Sh 2-47,274.44342,-15.6135,5
Sh 2-54,274.47347,-11.72997,140
Sh 2-49,274.65984,-13.96243,90
Sh 2-45,275.19621,-16.15986,60
Sh 2-48,275.58792,-14.57461,10
Sh 2-53,276.30589,-13.22112,15
Sh 2-68,276.28674,0.84562,8
Sh 2-50,276.38849,-14.70407,35
Sh 2-62,276.9093,-3.81809,4
Sh 2-57,277.63269,-8.61466,2
Sh 2-56,277.76311,-9.71404,7
Sh 2-58,277.85692,-8.46358,8
Sh 2-64,277.90007,-1.91329,25
Sh 2-55,278.04831,-11.76269,5
Sh 2-61,278.33987,-4.97788,2
Sh 2-60,279.17314,-6.69056,20
Sh 2-59,279.25252,-7.59019,20
Sh 2-51,280.19742,-16.55243,35
Sh 2-69,281.11723,-0.28118,20
Sh 2-66,281.37541,-1.99663,8
Sh 2-65,281.73368,-3.72828,7
Sh 2-67,282.35204,-2.34198,10
Sh 2-76,284.10389,7.79976,7
Sh 2-75,284.80734,7.10307,10
Sh 2-78,285.79844,14.12446,12
Sh 2-85,285.81119,25.82467,6
Sh 2-72,285.95513,2.3084,25
Sh 2-74,287.21484,5.59764,3
Sh 2-79,290.82617,13.96434,40
Sh 2-83,291.1423,20.78252,2
Sh 2-94,291.95789,31.45301,25
Sh 2-96,292.1754,32.68734,25
Sh 2-82,292.58106,18.25566,9
Sh 2-91,293.89626,29.595,120
Sh 2-86,295.78303,23.26993,40
Sh 2-88,296.47282,25.33963,25
Sh 2-87,296.60174,24.62352,10
Sh 2-92,296.65718,28.24047,50
Sh 2-77,297.06107,1.14195,8
Sh 2-84,297.25857,18.39297,15
Sh 2-90,297.31555,26.85997,6
Sh 2-89,297.51784,26.47751,5
Sh 2-93,298.7654,27.19954,1
Sh 2-97,299.02384,30.25067,10
Sh 2-63,299.42725,-14.11469,55
Sh 2-98,299.69307,31.42019,15
Sh 2-101,299.99516,35.28818,20
Sh 2-99,300.20662,33.48905,5
Sh 2-81,300.31575,11.78929,10
Sh 2-100,300.45692,33.50677,4
BFS 2,301.2162,29.17656,5
Sh 2-105,303.00619,38.33404,18
Sh 2-104,304.41935,36.73974,7
Sh 2-108,305.64931,40.24469,180
Sh 2-106,306.87059,37.38278,3
BFS 3,306.98885,30.5165,1
Sh 2-102,307.93588,30.6035,40
Sh 2-109,308.40549,40.33873,1080
Sh 2-112,308.46779,45.6557,15
Sh 2-115,308.63365,46.87302,50
Sh 2-107,310.68547,36.33058,5
Sh 2-130,310.84961,63.21498,3
Sh 2-117,314.69749,44.31168,240
BFS 4,315.29602,50.36382,0.5
Sh 2-120,315.9361,49.86599,1
Sh 2-121,316.31425,49.66726,1
BFS 9,315.70679,59.51537,1
Sh 2-129,317.94372,59.95615,140
BFS 5,318.51542,47.94116,1
Sh 2-136,319.11041,68.26012,5
Sh 2-119,319.61683,43.92797,160
BFS 7,320.05592,55.47947,5
Sh 2-110,320.2023,32.44639,50
Sh 2-113,320.19925,38.41308,15
Sh 2-114,320.2981,38.69673,9
Sh 2-127,322.17527,54.61927,2
Sh 2-133,322.23712,64.30295,80
Sh 2-128,323.0439,55.85518,1
BFS 6,324.07395,52.44146,3
Sh 2-118,324.25298,40.20854,480
Sh 2-124,324.59592,50.34292,70
Sh 2-131,324.73863,57.47673,170
BFS 8,325.30842,52.57826,5
Sh 2-111,325.47408,30.09525,90
Sh 2-123,325.58565,44.52897,13
BFS 11,325.73333,66.11296,10
Sh 2-125,328.38234,47.26975,9
BFS 10,329.09897,58.02165,1
Sh 2-137,329.29031,64.68888,90
Sh 2-134,332.87568,59.39725,160
Sh 2-132,334.68784,56.1178,90
Sh 2-140,334.77978,63.26805,30
Sh 2-135,335.44932,58.76939,15
Sh 2-145,336.38343,64.30462,90
Sh 2-141,337.16488,61.63944,5
Sh 2-178,334.93172,87.75429,420
Sh 2-150,337.78832,65.1073,40
Sh 2-138,338.17113,58.47462,1
Sh 2-126,338.35822,38.5749,160
Sh 2-139,338.72603,58.34228,25
Sh 2-144,341.2101,59.87979,4
Sh 2-142,341.90095,58.04752,30
Sh 2-143,342.38095,57.7649,4
Sh 2-146,342.36901,59.91489,2
BFS 12,342.75125,59.16545,12
Sh 2-154,342.84032,61.16559,60
BFS 13,343.08378,59.01593,15
Sh 2-147,343.91374,58.46709,2
Sh 2-148,344.06455,58.53396,2
Sh 2-149,344.08966,58.55066,1
Sh 2-155,344.16785,62.60078,60
Sh 2-152,344.69303,58.80146,2
Sh 2-153,344.81932,58.73496,5
BFS 14,345.52129,59.46917,70
Sh 2-151,345.75861,57.06946,20
BFS 16,345.94522,60.40302,1.5
BFS 15,346.18628,60.06998,0.5
Sh 2-156,346.29884,60.25344,2
BFS 19,346.31421,60.55346,2
Sh 2-160,346.45132,64.6703,80
BFS 17,346.47948,60.25365,0.5
BFS 18,346.56762,60.27042,1
Sh 2-122,347.19904,14.92113,40
Sh 2-158,348.41096,61.50573,10
Sh 2-161B,348.86341,61.85617,55
Sh 2-161A,348.86341,61.85617,55
Sh 2-159,348.94213,61.12291,7
Sh 2-157,349.02202,60.03965,90
Sh 2-162,350.17748,61.19068,40
Sh 2-163,353.33077,60.77628,10
Sh 2-167,353.88326,64.87659,2
Sh 2-164,354.59314,59.96029,3
Sh 2-165,354.9423,61.92711,10
Sh 2-166,355.54943,60.96071,10
Sh 2-174,356.70928,80.92778,10
Sh 2-168,358.27334,60.46149,7
Sh 2-169,358.50032,60.36152,5
Sh 2-170,0.41669,64.61166,20
