id,alpha,delta,diameter,constellation,catalog,sharpless,gum,rcw
RCW 148,270.43575,-21.5646944444444,2,Sagittarius,RCW,,,148
Sh 2-33,239.968,-1.60630555555556,35,Serpens Caput,Sharpless,33,,
GMN 2,272.577333333333,-22.3935833333333,12.88,Sagittarius,GMN,,,
GMN 3,273.211625,-22.5465555555556,26.9,Sagittarius,GMN,,,
Sh 2-34,271.7505,-21.6564166666667,90,Sagittarius,Sharpless,34,77a,149
LBN 41,302.568583333333,-32.7509444444444,128.2,Sagittarius,LBN,,,
RCW 150,271.296166666667,-20.7546944444444,2,Sagittarius,RCW,,,150
Siv 1,274.382208333333,-21.4542222222222,37.68,Sagittarius,Siv,,,
Sh 2-35,273.969583333333,-20.2505833333333,20,Sagittarius,Sharpless,35,77b,151
Sh 2-36,241.364583333333,0.385111111111111,45,Serpens Caput,Sharpless,36,,
Sh 2-37,274.434541666667,-19.7139722222222,20,Sagittarius,Sharpless,37,78,153a
Sh 2-38,272.18075,-18.2542222222222,3,Sagittarius,Sharpless,38,,
RCW 153,274.738958333333,-19.2214166666667,60,Sagittarius,RCW,,,153
RCW 152,269.191166666667,-16.1723055555556,2,Sagittarius,RCW,,,152
Sh 2-39,274.187166666667,-18.7137777777778,3,Sagittarius,Sharpless,39,,
RCW 154,271.484541666667,-16.9582777777778,40,Sagittarius,RCW,,,154
Sh 2-40,273.007166666667,-17.73975,15,Sagittarius,Sharpless,40,,155
Sh 2-41,273.958083333333,-18.2325833333333,90,Sagittarius,Sharpless,41,,
RCW 155b,273.057625,-17.6520555555556,8,Sagittarius,RCW,,,155b
RCW 155a,272.95225,-17.5856111111111,7,Sagittarius,RCW,,,155a
DU 1,276.916875,-19.0966111111111,98.26,Sagittarius,DU,,,
Sh 2-42,272.576458333333,-16.8063055555556,3,Sagittarius,Sharpless,42,,
Sh 2-43,274.099333333333,-17.39575,15,Sagittarius,Sharpless,43,,156
RCW 156a,274.225083333333,-17.2787777777778,40,Sagittarius,RCW,,,156a
Sh 2-44,274.161541666667,-16.6549166666667,60,Sagittarius,Sharpless,44,79,157
GMN 4,268.667041666667,-12.9032222222222,52.5,Serpens Cauda,GMN,,,
Sh 2-45,275.1565,-16.1461111111111,60,Sagittarius,Sharpless,45,,160
Gum 81a,275.317583333333,-16.2220555555556,30,Sagittarius,Gum,,81a,
Sh 2-46,271.530208333333,-14.1469166666667,25,Serpens Cauda,Sharpless,46,80,158
Gum 81b,274.964708333333,-15.9421111111111,25,Serpens Cauda,Gum,,81b,
Sh 2-47,274.437416666667,-15.6161944444444,5,Serpens Cauda,Sharpless,47,,
RCW 159,276.266583333333,-16.4852222222222,15,Sagittarius,RCW,,,159
RCW 161,275.279208333333,-15.0756111111111,80,Serpens Cauda,RCW,,,161
GMN 5,277.879791666667,-15.93425,157.72,Sagittarius,GMN,,,
Sh 2-48,275.5225,-14.6343888888889,10,Serpens Cauda,Sharpless,48,82,162
Sh 2-49,274.664291666667,-13.9628888888889,90,Serpens Cauda,Sharpless,49,83,165
RCW 163,277.498875,-15.3011111111111,10,Scutum,RCW,,,163
Sh 2-50,276.3855,-14.7033611111111,35,Scutum,Sharpless,50,,164
Sh 2-51,280.196791666667,-16.5537222222222,35,Sagittarius,Sharpless,51,,
Sh 2-52,296.94475,-23.0512222222222,2,Sagittarius,Sharpless,52,,
GMN 6,280.805375,-16.1646944444444,174.62,Sagittarius,GMN,,,
Sh 2-53,276.294875,-13.2208611111111,15,Scutum,Sharpless,53,,166
Gum 85,274.471416666667,-11.7300277777778,4,Serpens Cauda,Gum,,85,
Sh 2-54,274.456791666667,-11.6980833333333,140,Serpens Cauda,Sharpless,54,84,167
GMN 7,266.131375,-7.03425,250.76,Ophiuchus,GMN,,,
GMN 8,277.916541666667,-13.0161944444444,117.3,Scutum,GMN,,,
GMN 9,275.871166666667,-11.7541111111111,43.04,Scutum,GMN,,,
Sh 2-55,278.050833333333,-11.7600555555556,5,Scutum,Sharpless,55,,
[C51] 31,276.297458333333,-9.79422222222222,92.24,Scutum,[C51],,,
RCW 168,275.253375,-9.17102777777778,1,Serpens Cauda,RCW,,,168
Sh 2-56,277.75825,-9.71569444444444,7,Scutum,Sharpless,56,,169
RCW 170,277.838041666667,-9.04613888888889,7,Scutum,RCW,,,170
Sh 2-57,277.632958333333,-8.61322222222222,2,Scutum,Sharpless,57,,
GMN 10,294.679458333333,-16.4852222222222,131.08,Sagittarius,GMN,,,
Sh 2-58,277.863041666667,-8.47008333333333,8,Scutum,Sharpless,58,,171
DU 9,279.596916666667,-8.59627777777778,46.84,Scutum,DU,,,
Sh 2-59,279.171708333333,-7.59058333333333,20,Scutum,Sharpless,59,,172
DU 10,280.002666666667,-7.49727777777778,46.84,Scutum,DU,,,
GMN 11,277.99425,-6.24344444444444,60.52,Scutum,GMN,,,
GMN 12,280.927666666667,-7.6055,295.04,Scutum,GMN,,,
Sh 2-60,279.17525,-6.69163888888889,20,Scutum,Sharpless,60,,173
GMN 13,284.477,-9.24366666666667,60.06,Scutum,GMN,,,
Sh 2-61,278.336916666667,-4.97566666666667,2,Scutum,Sharpless,61,,
DU 11,280.400333333333,-5.98091666666667,20.1,Scutum,DU,,,
DU 12,280.0965,-5.60027777777778,36.88,Scutum,DU,,,
Sh 2-62,276.906166666667,-3.81736111111111,4,Serpens Cauda,Sharpless,62,,
DU 13,282.089041666667,-5.93902777777778,36.88,Scutum,DU,,,
Sh 2-63,299.429833333333,-14.1203333333333,55,Sagittarius,Sharpless,63,,
DU 14,285.922041666667,-6.81347222222222,125.92,Aquila,DU,,,
GMN 14,271.6295,0.998055555555556,169.98,Ophiuchus,GMN,,,
Sh 2-64,277.89575,-1.91258333333333,25,Serpens Cauda,Sharpless,64,,174
Sh 2-65,281.734125,-3.72938888888889,7,Aquila,Sharpless,65,,175
Sh 2-66,281.393875,-1.98166666666667,8,Aquila,Sharpless,66,,176
Sh 2-67,282.357,-2.34025,10,Aquila,Sharpless,67,,
Sh 2-68,276.290166666667,0.843388888888889,8,Serpens Cauda,Sharpless,68,,
DU 15,282.9315,-1.57852777777778,22.1,Aquila,DU,,,
Sh 2-69,281.120625,-0.279527777777778,20,Aquila,Sharpless,69,,177
DU 16,283.009625,-0.919861111111111,52.06,Aquila,DU,,,
GMN 15,283.837333333333,-1.24469444444444,202.76,Aquila,GMN,,,
DU 17,285.754708333333,-0.07525,61.26,Aquila,DU,,,
Sh 2-70,273.662416666667,7.05088888888889,5,Ophiuchus,Sharpless,70,,
Sh 2-71,285.551708333333,2.1795,3,Aquila,Sharpless,71,,
RCW 178,285.46525,2.44877777777778,2,Aquila,RCW,,,178
Sh 2-72,285.956,2.30886111111111,25,Aquila,Sharpless,72,,179
GMN 16,287.527041666667,1.87113888888889,41.24,Aquila,GMN,,,
DU 18,286.671791666667,3.10366666666667,61.26,Aquila,DU,,,
Sh 2-73,242.789166666667,21.8696666666667,75,Hercules,Sharpless,73,,
GMN 17,292.454125,0.945027777777778,379.24,Aquila,GMN,,,
DU 19,287.79825,3.49308333333333,34.12,Aquila,DU,,,
GMN 18,287.094333333333,3.96633333333333,340.76,Aquila,GMN,,,
RCW 180,282.227375,6.45869444444444,1,Aquila,RCW,,,180
RCW 181,283.754458333333,6.13372222222222,5,Serpens Cauda,RCW,,,181
GMN 19,280.90425,7.99105555555556,495.72,Ophiuchus,GMN,,,
DU 20,287.254166666667,5.13458333333333,40.74,Aquila,DU,,,
Sh 2-74,287.21,5.60083333333333,3,Aquila,Sharpless,74,,182
DU 21,288.5495,4.94011111111111,28.5,Aquila,DU,,,
Sh 2-75,284.808041666667,7.10261111111111,10,Aquila,Sharpless,75,,
DU 22,288.269291666667,5.66108333333333,40.74,Aquila,DU,,,
Sh 2-76,284.084458333333,7.87388888888889,7,Aquila,Sharpless,76,,
Sh 2-77,297.065791666667,1.14286111111111,8,Aquila,Sharpless,77,,
DU 23,283.907625,9.34577777777778,80.96,Aquila,DU,,,
Sh 2-78,285.80025,14.1215,12,Aquila,Sharpless,78,,
GMN 20,299.265833333333,8.96736111111111,14.22,Aquila,GMN,,,
Sh 2-79,290.822458333333,13.9659166666667,40,Aquila,Sharpless,79,,
GMN 21,290.166625,15.1146944444444,92.08,Aquila,GMN,,,
Sh 2-80,287.888875,16.8577777777778,2,Sagitta,Sharpless,80,,
Sh 2-81,300.312416666667,11.7879166666667,10,Aquila,Sharpless,81,,
GMN 22,292.753083333333,16.7695277777778,54.86,Sagitta,GMN,,,
Sh 2-82,292.579916666667,18.2601388888889,9,Sagitta,Sharpless,82,,
GMN 23,292.589208333333,19.4703611111111,92.08,Vulpecula,GMN,,,
Sh 2-83,291.142125,20.7826944444444,2,Vulpecula,Sharpless,83,,
Sh 2-84,297.256208333333,18.393,15,Sagitta,Sharpless,84,,
GMN 24,298.723291666667,18.3130833333333,315,Sagitta,GMN,,,
Sh 2-85,285.807333333333,25.8289166666667,6,Lyra,Sharpless,85,,
DU 25,299.159041666667,20.0423888888889,54.1,Sagitta,DU,,,
DU 26,294.871708333333,23.2049444444444,38.72,Vulpecula,DU,,,
Sh 2-86,295.785333333333,23.2644166666667,40,Vulpecula,Sharpless,86,,
DU 27,296.82,22.7228333333333,41.58,Vulpecula,DU,,,
GMN 25,296.115,23.7328888888889,225.9,Vulpecula,GMN,,,
DU 28,296.093,23.9773888888889,34.32,Vulpecula,DU,,,
DU 29,297.45075,23.5058611111111,41.58,Vulpecula,DU,,,
Sh 2-87,296.565416666667,24.6194722222222,10,Vulpecula,Sharpless,87,,
Sh 2-88,296.476458333333,25.3369722222222,25,Vulpecula,Sharpless,88,,
DU 30,297.676416666667,24.8351666666667,32.34,Vulpecula,DU,,,
Sh 2-89,297.494375,26.4463611111111,5,Vulpecula,Sharpless,89,,
Sh 2-90,297.279125,26.9078888888889,6,Vulpecula,Sharpless,90,,
Sh 2-91,293.894083333333,29.5942777777778,120,Cygnus,Sharpless,91,,
Sh 2-92,296.654333333333,28.2391944444444,50,Vulpecula,Sharpless,92,,
Sh 2-93,298.760875,27.1690277777778,1,Vulpecula,Sharpless,93,,
DU 32,297.523833333333,28.1225833333333,32.34,Vulpecula,DU,,,
Sh 2-94,291.957291666667,31.4530555555556,25,Cygnus,Sharpless,94,,
DU 33,298.068791666667,28.7440833333333,53,Vulpecula,DU,,,
Sh 2-95,298.748458333333,29.2784722222222,1,Vulpecula,Sharpless,95,,
Sh 2-96,292.177875,32.6893333333333,25,Cygnus,Sharpless,96,,
DU 34,300.513416666667,28.6824166666667,95.86,Vulpecula,DU,,,
DU 35,295.25725,31.6001666666667,95.86,Cygnus,DU,,,
Sh 2-97,299.025458333333,30.255,10,Cygnus,Sharpless,97,,
BFS 2,301.22325,29.1774444444444,5,Vulpecula,BFS,,,
DU 36,296.814,32.3145,58.44,Cygnus,DU,,,
DU 38,298.281583333333,32.1046944444445,40.2,Cygnus,DU,,,
Sh 2-98,299.689041666667,31.4183611111111,15,Cygnus,Sharpless,98,,
Sh 2-99,300.201291666667,33.4894444444444,5,Cygnus,Sharpless,99,,
Sh 2-100,300.445166666667,33.5513888888889,4,Cygnus,Sharpless,100,,
GMN 26,294.787416666667,36.7355555555556,260.9,Cygnus,GMN,,,
BFS 3,306.98975,30.5125,1,Cygnus,BFS,,,
Sh 2-102,307.93625,30.60175,40,Cygnus,Sharpless,102,,
[C51] 41,301.604666666667,34.3576666666667,40.2,Cygnus,[C51],,,
[C51] 46,302.717916666667,33.8265,32.06,Cygnus,[C51],,,
Sh 2-101,300.03825,35.2876944444444,20,Cygnus,Sharpless,101,,
[C51] 47,303.320416666667,35.2031388888889,32.06,Cygnus,[C51],,,
[C51] 43,302.155083333333,36.1495,32.06,Cygnus,[C51],,,
Sh 2-103,312.594875,30.9234444444444,210,Cygnus,Sharpless,103,,
Sh 2-104,304.418458333333,36.7353888888889,7,Cygnus,Sharpless,104,,
Sh 2-105,303.005291666667,38.3356111111111,18,Cygnus,Sharpless,105,,
Sh 2-106,306.875375,37.3804166666667,3,Cygnus,Sharpless,106,,
Sh 2-107,310.6815,36.3268055555556,5,Cygnus,Sharpless,107,,
Sh 2-108,305.65275,40.2441666666667,180,Cygnus,Sharpless,108,,
Sh 2-109,308.403875,40.3368333333333,1080,Cygnus,Sharpless,109,,
Sh 2-110,320.204958333333,32.4448333333333,50,Cygnus,Sharpless,110,,
Sh 2-111,325.472708333333,30.0935555555556,90,Cygnus,Sharpless,111,,
Sh 2-112,308.466333333333,45.6531944444444,15,Cygnus,Sharpless,112,,
Sh 2-113,320.204666666667,38.4145555555556,15,Cygnus,Sharpless,113,,
GMN 27,296.62175,50.8733611111111,107.98,Cygnus,GMN,,,
Sh 2-114,320.289375,38.6963611111111,9,Cygnus,Sharpless,114,,
Sh 2-117,313.603583333333,44.0536666666667,267.12,Cygnus,Sharpless,117,,
Sh 2-115,308.69525,46.9246111111111,50,Cygnus,Sharpless,115,,
Sh 2-116,308.085583333333,47.3565,2,Cygnus,Sharpless,116,,
Sh 2-118,324.256583333333,40.2110277777778,480,Cygnus,Sharpless,118,,
Sh 2-119,319.622291666667,43.9255277777778,160,Cygnus,Sharpless,119,,
Sh 2-122,347.20275,14.9218333333333,40,Pegasus,Sharpless,122,,
BFS 5,318.50725,47.9423611111111,1,Cygnus,BFS,,,
Sh 2-120,315.934958333333,49.8706666666667,1,Cygnus,Sharpless,120,,
Sh 2-121,316.314166666667,49.6645,1,Cygnus,Sharpless,121,,
BFS 4,315.302208333333,50.3628888888889,0.5,Cygnus,BFS,,,
DU 41,323.85875,45.19675,63.94,Cygnus,DU,,,
Sh 2-123,325.585375,44.5243055555556,13,Cygnus,Sharpless,123,,
GMN 28,316.499541666667,50.8866666666667,31.92,Cygnus,GMN,,,
DU 42,322.806166666667,47.3380555555556,44.76,Cygnus,DU,,,
LBN 417,321.494125,48.6232777777778,40.42,Cygnus,LBN,,,
DU 44,324.232958333333,47.7171388888889,49.7,Cygnus,DU,,,
DU 45,320.384333333333,50.4494166666667,63.94,Cygnus,DU,,,
DU 46,325.918041666667,46.55175,63.94,Cygnus,DU,,,
DU 47,325.173083333333,48.7708611111111,36.82,Cygnus,DU,,,
Sh 2-125,328.383,47.2653055555556,9,Cygnus,Sharpless,125,,
Sh 2-124,324.691125,50.3747777777778,70,Cygnus,Sharpless,124,,
DU 48,323.359875,51.3335833333333,24.6,Cygnus,DU,,,
Sh 2-126,338.357791666667,38.5784166666667,160,Lacerta,Sharpless,126,,
BFS 6,324.07675,52.4423333333333,3,Cygnus,BFS,,,
BFS 7,320.049375,55.4769166666667,5,Cepheus,BFS,,,
BFS 8,325.311958333333,52.5739444444445,5,Cygnus,BFS,,,
Sh 2-127,322.16975,54.6230555555556,2,Cygnus,Sharpless,127,,
GMN 29,340.587208333333,39.0406666666667,519.12,Lacerta,GMN,,,
BFS 9,315.708,59.5093611111111,1,Cepheus,BFS,,,
Sh 2-128,323.040708333333,55.8589722222222,1,Cepheus,Sharpless,128,,
[C51] 86,329.331833333333,52.5494722222222,72.26,Cygnus,[C51],,,
Sh 2-129,317.946166666667,59.9616111111111,140,Cepheus,Sharpless,129,,
Sh 2-130,310.844708333333,63.2115,3,Cepheus,Sharpless,130,,
Sh 2-131,324.983125,57.6900555555556,170,Cepheus,Sharpless,131,,
DU 49,320.174083333333,61.9973333333333,72.26,Cepheus,DU,,,
DU 50,324.23625,60.4548333333333,72.26,Cepheus,DU,,,
BFS 10,329.095875,58.0231666666667,1,Cepheus,BFS,,,
Sh 2-132,334.693,56.119,90,Cepheus,Sharpless,132,,
Sh 2-133,322.232166666667,64.3029722222222,80,Cepheus,Sharpless,133,,
Sh 2-134,332.87675,59.4011111111111,160,Cepheus,Sharpless,134,,
DU 52,324.050041666667,65.5424166666667,35.82,Cepheus,DU,,,
Sh 2-135,335.454291666667,58.7715833333333,15,Cepheus,Sharpless,135,,
[C51] 89,332.592625,61.2679722222222,59.72,Cepheus,[C51],,,
Sh 2-136,319.095666666667,68.2598888888889,5,Cepheus,Sharpless,136,,
BFS 11,325.729708333333,66.1142222222222,10,Cepheus,BFS,,,
[C51] 93,336.341666666667,59.7783055555556,38.76,Cepheus,[C51],,,
Sh 2-138,338.168208333333,58.4780833333333,1,Cepheus,Sharpless,138,,
Sh 2-137,329.290458333333,64.6933055555556,90,Cepheus,Sharpless,137,,
Sh 2-139,338.714875,58.3439166666667,25,Cepheus,Sharpless,139,,
Sh 2-140,334.766458333333,63.2689722222222,30,Cepheus,Sharpless,140,,
Sh 2-141,337.158583333333,61.6375,5,Cepheus,Sharpless,141,,
Sh 2-142,341.73875,58.0522777777778,30,Cepheus,Sharpless,142,,
Sh 2-143,342.378166666667,57.7661944444444,4,Cepheus,Sharpless,143,,
Sh 2-144,341.199208333333,59.8824166666667,4,Cepheus,Sharpless,144,,
Sh 2-145,336.394333333333,64.3032777777778,90,Cepheus,Sharpless,145,,
LBN 513,342.871125,58.9456944444444,38.76,Cepheus,LBN,,,
BFS 12,342.748875,59.1618611111111,12,Cepheus,BFS,,,
BFS 13,343.087416666667,59.0136944444445,15,Cepheus,BFS,,,
Sh 2-146,342.357333333333,59.9351111111111,2,Cepheus,Sharpless,146,,
Sh 2-147,343.919291666667,58.4672777777778,2,Cepheus,Sharpless,147,,
Sh 2-148,344.067416666667,58.5373333333333,2,Cepheus,Sharpless,148,,
Sh 2-149,344.093833333333,58.5549166666667,1,Cepheus,Sharpless,149,,
Sh 2-151,345.764666666667,57.0707777777778,20,Cassiopeia,Sharpless,151,,
Sh 2-153,344.779416666667,58.7504166666667,5,Cassiopeia,Sharpless,153,,
Sh 2-152,344.783208333333,58.7557777777778,2,Cassiopeia,Sharpless,152,,
Sh 2-150,337.786458333333,65.1024722222222,40,Cepheus,Sharpless,150,,
Sh 2-154,342.72525,61.2670277777778,60,Cepheus,Sharpless,154,,
DU 54,345.803166666667,58.4014444444444,38.76,Cassiopeia,DU,,,
DU 55,345.200916666667,59.32,56.8,Cassiopeia,DU,,,
BFS 15,346.185125,60.0731388888889,0.5,Cepheus,BFS,,,
BFS 16,345.939166666667,60.40175,1.5,Cepheus,BFS,,,
Sh 2-156,346.315708333333,60.1995277777778,2,Cepheus,Sharpless,156,,
BFS 17,346.484583333333,60.2575555555556,0.5,Cepheus,BFS,,,
BFS 18,346.558708333333,60.2733333333333,1,Cepheus,BFS,,,
BFS 19,346.31,60.5579722222222,2,Cepheus,BFS,,,
Sh 2-155,344.544833333333,62.6995555555556,60,Cepheus,Sharpless,155,,
Sh 2-157,349.028291666667,60.0393888888889,90,Cassiopeia,Sharpless,157,,
Sh 2-158,348.339208333333,61.4755,10,Cepheus,Sharpless,158,,
Sh 2-159,348.837833333333,61.1398055555556,7,Cepheus,Sharpless,159,,
Sh 2-161,348.864333333333,61.8527777777778,55,Cassiopeia,Sharpless,161,,
Sh 2-160,346.44,64.6701388888889,80,Cepheus,Sharpless,160,,
Sh 2-162,350.147666666667,61.1644722222222,40,Cassiopeia,Sharpless,162,,
Sh 2-163,353.473625,60.7590555555556,10,Cassiopeia,Sharpless,163,,
Sh 2-164,354.589041666667,59.9639722222222,3,Cassiopeia,Sharpless,164,,
DU 58,355.122875,59.3388611111111,58.12,Cassiopeia,DU,,,
Sh 2-165,354.946666666667,61.9285277777778,10,Cassiopeia,Sharpless,165,,
Sh 2-166,355.555833333333,60.9611944444444,10,Cassiopeia,Sharpless,166,,
DU 59,356.790416666667,59.1108888888889,37.22,Cassiopeia,DU,,,
Sh 2-167,353.876083333333,64.8728888888889,2,Cepheus,Sharpless,167,,
Sh 2-168,358.279375,60.4616666666667,7,Cassiopeia,Sharpless,168,,
Sh 2-169,358.491375,60.3624722222222,5,Cassiopeia,Sharpless,169,,
DU 60,359.424666666667,62.5935,109.14,Cassiopeia,DU,,,
Siv 2,4.213625,51.4205833333333,250.48,Cassiopeia,Siv,,,
Sh 2-170,0.424708333333333,64.6085,20,Cassiopeia,Sharpless,170,,
DU 61,2.15833333333333,60.5560277777778,37.22,Cassiopeia,DU,,,
Sh 2-171,0.240958333333333,68.13,180,Cepheus,Sharpless,171,,
Sh 2-172,3.87158333333333,61.2403888888889,1,Cassiopeia,Sharpless,172,,
DU 62,3.69641666666667,63.8390833333333,50.72,Cassiopeia,DU,,,
Sh 2-173,5.45058333333333,61.7300833333333,30,Cassiopeia,Sharpless,173,,
Sh 2-176,7.91645833333333,57.27875,10,Cassiopeia,Sharpless,176,,
Sh 2-174,356.693333333333,80.927,10,Cepheus,Sharpless,174,,
Sh 2-175,6.83758333333333,64.6913888888889,2,Cassiopeia,Sharpless,175,,
Sh 2-177,7.94554166666667,62.6957777777778,2,Cassiopeia,Sharpless,177,,
Sh 2-178,334.8245,87.7527777777778,420,Ursa Minor,Sharpless,178,,
BFS 20,8.66391666666667,69.4434444444445,1,Cassiopeia,BFS,,,
Sh 2-179,10.1146666666667,62.8550555555556,1,Cassiopeia,Sharpless,179,,
BFS 21,10.8379583333333,61.9068055555556,1,Cassiopeia,BFS,,,
Sh 2-180,12.19625,62.9201944444444,15,Cassiopeia,Sharpless,180,,
Sh 2-181,12.307,65.20075,15,Cassiopeia,Sharpless,181,,
Sh 2-182,12.5739166666667,64.7414722222222,2,Cassiopeia,Sharpless,182,,
Sh 2-184,13.164625,56.7888611111111,40,Cassiopeia,Sharpless,184,,
Sh 2-183,13.5101666666667,65.7003888888889,35,Cassiopeia,Sharpless,183,,
Sh 2-185,14.998875,60.9845,120,Cassiopeia,Sharpless,185,,
DU 64,15.793,63.2005277777778,82.76,Cassiopeia,DU,,,
Sh 2-186,17.1959166666667,63.1357777777778,1,Cassiopeia,Sharpless,186,,
Sh 2-187,20.7784583333333,61.84225,10,Cassiopeia,Sharpless,187,,
DU 65,24.3395,64.1555833333333,33.44,Cassiopeia,DU,,,
Sh 2-188,22.6635,58.3599722222222,9,Cassiopeia,Sharpless,188,,
BFS 22,31.54725,69.0228055555556,2,Cassiopeia,BFS,,,
LBN 640,25.2488333333333,52.6498055555556,307.32,Perseus,LBN,,,
Sh 2-189,33.0245,64.169,2,Cassiopeia,Sharpless,189,,
DU 67,33.0654166666667,59.6131388888889,91.84,Cassiopeia,DU,,,
BFS 23,35.5794583333333,59.9064722222222,2,Cassiopeia,BFS,,,
BFS 24,39.6572916666667,64.0315277777778,20,Cassiopeia,BFS,,,
Sh 2-190,38.3550416666667,61.4373611111111,150,Cassiopeia,Sharpless,190,,
Sh 2-191,39.1656666666667,59.6301388888889,2,Cassiopeia,Sharpless,191,,
Sh 2-192,41.8177083333333,61.9757777777778,1,Cassiopeia,Sharpless,192,,
Sh 2-193,41.8836666666667,61.9941944444444,2,Cassiopeia,Sharpless,193,,
Sh 2-194,41.8385416666667,61.92675,2,Cassiopeia,Sharpless,194,,
Sh 2-195,40.0171666666667,59.6166111111111,3,Cassiopeia,Sharpless,195,,
Sh 2-196,42.9112916666667,62.2043888888889,4,Cassiopeia,Sharpless,196,,
Sh 2-197,40.4687916666667,59.6127777777778,5,Cassiopeia,Sharpless,197,,
DU 69,40.46025,58.6152222222222,36.14,Cassiopeia,DU,,,
Sh 2-198,42.5105,59.6902777777778,9,Cassiopeia,Sharpless,198,,
Sh 2-199,43.6312083333333,60.4054444444444,120,Cassiopeia,Sharpless,199,,
Sh 2-200,47.6635416666667,62.8099166666667,6,Cassiopeia,Sharpless,200,,
Sh 2-201,45.788625,60.42775,5,Cassiopeia,Sharpless,201,,
BFS 25,44.21075,58.9032222222222,2,Cassiopeia,BFS,,,
BFS 26,46.8707083333333,58.511,4,Cassiopeia,BFS,,,
Sh 2-202,49.7040833333333,59.6303611111111,170,Camelopardalis,Sharpless,202,,
BFS 27,46.696875,56.7783333333333,90,Perseus,BFS,,,
BFS 28,52.5029583333333,59.7031388888889,20,Camelopardalis,BFS,,,
BFS 29,52.4649166666667,58.8659722222222,30,Camelopardalis,BFS,,,
BFS 30,49.5930416666667,54.0776944444445,3,Perseus,BFS,,,
Sh 2-203,50.4970833333333,54.8813611111111,45,Perseus,Sharpless,203,,
BFS 31,51.2100833333333,54.9595555555556,2,Perseus,BFS,,,
Siv 3,73.893875,65.595,482.46,Camelopardalis,Siv,,,
Sh 2-204,58.942875,57.4320833333333,40,Camelopardalis,Sharpless,204,,
Sh 2-205,59.0288333333333,53.1921111111111,120,Camelopardalis,Sharpless,205,,
BFS 32,57.9114583333333,51.4997222222222,1.5,Perseus,BFS,,,
BFS 33,59.99175,51.5516388888889,1.5,Perseus,BFS,,,
Sh 2-206,60.878375,51.3486111111111,50,Perseus,Sharpless,206,,
BFS 34,61.7925833333333,51.4019166666667,5,Perseus,BFS,,,
Sh 2-207,64.938125,53.1331388888889,4,Camelopardalis,Sharpless,207,,
Sh 2-208,64.9515,52.9706111111111,1,Camelopardalis,Sharpless,208,,
Sh 2-209,62.814125,51.1957222222222,14,Perseus,Sharpless,209,,
DU 71,67.281875,53.9122777777778,279.66,Camelopardalis,DU,,,
Sh 2-210,67.745375,52.5400555555556,20,Perseus,Sharpless,210,,
Sh 2-211,69.1097916666667,50.8869166666667,2,Perseus,Sharpless,211,,
Sh 2-212,70.1854583333333,50.4245555555556,5,Perseus,Sharpless,212,,
BFS 35,58.6412083333333,42.0952222222222,3,Perseus,BFS,,,
BFS 36,58.9842083333333,42.1809722222222,3,Perseus,BFS,,,
BFS 37,59.8319583333333,41.9415833333333,3,Perseus,BFS,,,
BFS 38,59.955125,41.9411666666667,3,Perseus,BFS,,,
BFS 39,60.2116666666667,42.0531666666667,3,Perseus,BFS,,,
BFS 40,69.6010833333333,48.66925,2,Perseus,BFS,,,
BFS 41,60.258125,41.9426944444444,3,Perseus,BFS,,,
BFS 42,66.9891666666667,46.3218055555556,8,Perseus,BFS,,,
