id,alpha,delta,diameter,axisRatio,posAngle,MinAx,Type,B-Mag,V-Mag,J-Mag,H-Mag,K-Mag,SurfBr,Hubble,NGC,IC,Common name,NED notes,OpenNGC notes
NGC2571,124.73479,-29.74928,7.2,,,,OCl,7.16,7,,,,,,,,,,
NGC2572,125.35263,19.14778,1.22,2.3,135,0.52,G,14.72,,11.61,10.86,10.57,23.55,SBa,,,MCG +03-22-004,PGC 023441,SDSS J082124.62+190852.0
NGC2573,25.40554,-89.33453,1.92,2.6,78,0.74,G,14.12,13.53,11.58,10.91,10.85,23.47,Sc,,,ESO 001-001,ESO-LV 1-0010,IRAS 02425-8934
NGC2573B,346.88675,-89.1165,1.13,3.2,122,0.35,G,15.33,,13.25,12.61,12.12,23.25,IB,,,ESO 001-008,ESO-LV 1-0080,PGC 070533
NGC2574,125.20067,-8.91847,2.17,2,172,1.08,G,13.22,,10.79,10.15,9.81,23.21,SBab,,,MCG -01-22-003,PGC 023418,
NGC2575,125.68733,24.29692,1.37,1.3,129,1.08,G,13.73,12.98,11.27,10.49,10.23,23.05,Sc,,,IRAS 08198+2427,MCG +04-20-040,PGC 023501
NGC2576,125.74042,25.73872,1.61,5.4,40,0.3,G,15.15,,12.26,11.44,10.6,23.81,SABb,,,MCG +04-20-041,PGC 023512,SDSS J082257.70+254419.3
NGC2577,125.68104,22.55308,1.55,1.8,105,0.88,G,13.43,12.42,10.01,9.33,9.05,23.1,E-S0,,,MCG +04-20-042,PGC 023498,SDSS J082243.44+223311.0
NGC2578,125.35113,-13.31786,2.19,2,83,1.1,G,13.51,12.59,10.38,9.65,9.35,23.75,S0-a,,,MCG -02-22-002,PGC 023440,
NGC2579,125.22108,-36.21714,3.3,,,,Cl+N,,,,,,,,,,MWSC 1474,PN G254.6+00.2,
NGC2580,125.36625,-30.29347,3,,,,OCl,,9.7,,,,,,,,,,
NGC2581,126.12892,18.59708,0.96,1.4,4,0.7,G,14.43,,,,,22.97,SABb,,,IRAS 08216+1845,MCG +03-22-010,PGC 023599
NGC2582,126.30029,20.33475,1.19,1.1,135,1.13,G,13.98,13.11,11.12,9.93,10.09,23.07,Sb,,2359,MCG +04-20-050,PGC 023630,SDSS J082512.06+202005.0
NGC2583,125.78304,-5.00239,0.86,1.1,18,0.75,G,14.4,13.44,11.19,10.51,10.22,22.93,E,,,MCG -01-22-008,PGC 023516,
NGC2584,125.81438,-4.9705,0.99,1.8,179,0.54,G,14.99,,12.44,11.79,11.88,23.04,SBbc,,,MCG -01-22-009,PGC 023523,
NGC2585,125.8595,-4.91522,1.55,2.7,119,0.57,G,14.49,,11.83,11.17,10.9,23.47,Sb,,,IRAS 08209-0445,MCG -01-22-010,PGC 023537
NGC2587,125.85033,-29.50872,6,,,,OCl,,9.2,,,,,,,,MWSC 1482,,
NGC2588,125.78988,-32.97517,3.9,,,,OCl,,11.8,,,,,,,,,,
NGC2590,126.25833,-0.59139,2.08,4.1,77,0.51,G,13.9,13.01,10.47,9.75,9.38,23.23,SABb,,507,IRAS 08224-0025,MCG +00-22-010,PGC 023616
NGC2591,129.35638,78.02642,2.95,4.6,33,0.64,G,12.66,,10.57,9.85,9.54,22.73,Sc,,,IRAS 08307+7811,MCG +13-07-001,PGC 024231
NGC2592,126.78354,25.97031,1.47,1.2,47,1.19,G,13.55,,10.1,9.41,9.13,23.3,E,,,MCG +04-20-055,PGC 023701,SDSS J082708.05+255813.1
NGC2593,126.69929,17.37492,0.97,1.8,171,0.53,G,14.83,,11.71,11.02,10.63,23.37,S0-a,,,MCG +03-22-012,PGC 023692,SDSS J082647.83+172229.6
NGC2594,126.8215,25.87881,0.91,1.6,20,0.56,G,14.93,,11.33,10.59,10.38,23.44,S0,,,MCG +04-20-056,PGC 023704,SDSS J082717.16+255243.7
NGC2595,126.92508,21.47911,1.66,1.5,175,1.12,G,13.16,12.39,10.35,9.92,9.66,22.68,Sc,,,IRAS 08247+2138,MCG +04-20-062,PGC 023725
NGC2596,126.8605,17.28408,1.38,2.7,64,0.51,G,14.21,13.48,11.32,10.58,10.25,22.96,Sb,,,IRAS 08245+1726,MCG +03-22-013,PGC 023714
NGC2598,127.5105,21.48867,1.19,3.1,3,0.38,G,14.62,13.61,11.41,10.69,10.43,23.22,SBa,,,MCG +04-20-065,PGC 023855,SDSS J083002.52+212919.1
NGC2599,128.04708,22.56056,1.56,1.2,108,1.32,G,13.19,12.2,10.3,9.53,9.31,22.81,Sa,,,IRAS 08292+2243,MCG +04-20-067,PGC 023941
NGC2600,128.68771,52.71569,1.21,3,72,0.41,G,15.05,,12.14,11.41,11.03,23.45,Sb,,,MCG +09-14-068,PGC 024082,SDSS J083445.03+524256.6
NGC2601,126.37775,-68.11767,1.69,1.5,114,1.15,G,13.43,,10.18,9.48,9.17,23.17,S0-a,,,ESO 060-005,ESO-LV 60-0050,IRAS 08251-6757
NGC2602,128.76771,52.83153,0.65,1.6,26,0.41,G,15.45,,12.54,11.95,11.63,23.15,S0-a,,,MCG +09-14-069,PGC 024099,SDSS J083504.23+524953.6
NGC2603,128.62996,52.84022,0.4,1.2,164,0.34,G,16.82,,,,,23.44,Sbc,,,PGC 3133653,SDSS J083431.19+525024.7,SDSS J083431.19+525024.8
NGC2604,128.34642,29.53881,1.48,1.1,50,1.37,G,13.62,14.92,12.04,11.42,11.04,23.39,SBc,2604A,,IRAS 08303+2942,MCG +05-20-022,PGC 023998
NGC2604B,128.39858,29.49969,0.56,2.4,58,0.23,G,15.71,,,,,22.81,Sd,,,PGC 024004,,
NGC2605,128.72213,52.80431,0.45,1.3,27,0.35,G,16.43,,15.23,14.36,14.11,23.33,SBb,,,PGC 2424112,SDSS J083453.31+524815.4,SDSS J083453.31+524815.5
NGC2606,128.8935,52.78892,0.87,1.9,56,0.45,G,14.9,,,,,22.86,Sb,,,MCG +09-14-072,PGC 024117,SDSS J083534.42+524720.2
NGC2607,128.48608,26.97267,0.84,1.1,160,0.8,G,14.95,,12.73,11.98,12.04,23.34,Sc,,,MCG +05-20-025,PGC 024038,SDSS J083356.65+265821.5
NGC2608,128.82221,28.47342,1.95,2.1,64,0.95,G,12.96,12.25,10.3,9.61,9.33,22.63,Sb,,,IRAS 08322+2838,MCG +05-20-027,PGC 024111
NGC2609,127.37354,-61.11022,3.6,,,,OCl,,,,,,,,,,,,
NGC2610,128.3475,-16.14944,0.63,,,,PN,13.6,12.7,16.71,16.29,,,,,,PN G239.6+13.9,,
NGC2611,128.87154,25.0275,0.8,3.1,51,0.26,G,15.28,,12.06,11.31,10.96,23.27,S0-a,,,IRAS 08325+2512,PGC 024121,SDSS J083529.17+250139.0
NGC2612,128.45875,-13.17453,2.6,3.3,117,0.8,G,12.91,,9.7,9.03,8.78,24.21,E-S0,,,MCG -02-22-020,PGC 024028,
NGC2613,128.34517,-22.97367,7.62,4.3,113,1.79,G,11.11,10.38,7.83,7.12,6.83,23.28,Sb,,,ESO 495-018,ESO-LV 495-0180,IRAS 08311-2248
NGC2614,130.69979,72.97647,2.04,1.2,132,1.67,G,13.89,,11.14,10.45,10.19,23.95,Sc,,,IRAS 08373+7309,MCG +12-09-005,PGC 024473
NGC2615,128.63896,-2.54681,1.2,1.5,44,0.82,G,13.38,,10.43,9.73,9.44,22.55,Sb,,,IRAS 08320-0222,MCG +00-22-019,PGC 024071
NGC2616,128.89196,-1.85014,1.43,1.5,147,0.98,G,13.56,12.57,10.68,9.94,9.65,23.06,S0,,,MCG +00-22-021,PGC 024129,UGC 04489
NGC2617,128.91163,-4.08822,1.4,1.3,127,1.1,G,13.79,14,11.03,10.32,10.05,23.07,SBc,,,IRAS 08331-0354,MCG -01-22-026,PGC 024141
NGC2618,128.97308,0.70711,2.07,2.4,141,0.88,G,13.96,,10,9.36,9.08,23.81,Sab,,,MCG +00-22-023,PGC 024156,SDSS J083553.54+004225.6
NGC2619,129.38629,28.70519,1.93,1.6,38,1.17,G,13.46,12.72,10.58,9.99,9.6,23.19,Sbc,,,IRAS 08345+2852,MCG +05-21-002,PGC 024235
NGC2620,129.36767,24.94694,2,4,93,0.5,G,14.61,,11.03,10.23,10.18,24.07,Sab,,,MCG +04-21-001,PGC 024233,SDSS J083728.21+245648.1
NGC2621,129.40408,24.99981,0.73,1.6,176,0.47,G,15.42,,12.09,11.33,11.18,23.26,Sab,,,MCG +04-21-003,PGC 024241,SDSS J083736.97+245959.2
NGC2622,129.54558,24.89528,0.94,1.6,10,0.6,G,14.72,14.12,11.37,10.52,10.29,23.07,SBb,,,MCG +04-21-008,PGC 024269,SDSS J083810.94+245342.9
NGC2623,129.60033,25.75464,2.39,3.4,36,0.7,G,13.98,13.55,11.57,10.81,10.43,23.81,Sb,,,IRAS 08354+2555,MCG +04-21-009,PGC 024288
NGC2624,129.54013,19.72567,0.77,1.6,35,0.47,G,14.57,,11.97,11.3,11.06,22.96,E,,,MCG +03-22-019,PGC 024264,SDSS J083809.62+194332.3
NGC2625,129.59675,19.71667,0.53,1.2,32,0.44,G,15.17,,13.11,12.44,12.21,22.5,SBcd,,,PGC 024285,SDSS J083823.21+194300.0,SDSS J083823.22+194300.0
NGC2626,128.87033,-40.66833,5,1,,5,RfN,,,,,,,,,,,,
NGC2627,129.31225,-29.95042,5.4,,,,OCl,,8.4,,,,,,,,MWSC 1514,,
NGC2628,130.09463,23.53967,1.04,1.1,30,0.93,G,14.04,,11.12,10.51,10.17,22.83,SABc,,,IRAS 08374+2342,MCG +04-21-012,PGC 024381
NGC2629,131.81592,72.98564,1.97,1.4,100,1.42,G,13.31,12.26,9.81,9.13,8.85,23.52,E-S0,,,MCG +12-09-010,PGC 024682,UGC 04569
NGC2632,130.0925,19.67206,108.6,,,,OCl,3.46,3.1,,,,,,,,Beehive,Praesepe Cluster,
NGC2633,132.01908,74.09886,2.31,1.6,175,1.45,G,12.86,12.08,10.03,9.26,8.96,23.08,Sb,,,IRAS 08425+7416,MCG +12-09-013,PGC 024723
NGC2634,132.10579,73.96717,1.72,1,30,1.66,G,12.9,11.97,10.19,9.48,9.26,22.96,E,,,MCG +12-09-015,PGC 024749,UGC 04581
NGC2634A,132.15892,73.93928,1.19,3.2,67,0.37,G,14.23,,12.52,11.7,11.52,22.77,SBbc,,,IRAS 08433+7406,MCG +12-09-016,PGC 024760
NGC2635,129.60829,-34.77158,5.1,,,,OCl,12.06,11.2,,,,,,,,MWSC 1519,,
NGC2636,132.10179,73.67114,0.34,1,30,0.34,G,14.65,13.77,11.7,11.09,10.76,21.18,E,,,PGC 024747,UGC 04583,
NGC2637,130.30621,19.69144,0.51,1.2,48,0.43,G,15.57,,13.66,13.53,13.16,22.91,SBc,,,PGC 024409,SDSS J084113.48+194129.1,SDSS J084113.49+194129.1
NGC2638,130.60738,37.22103,1.66,2.8,70,0.59,G,13.72,,10.77,10.08,9.8,23.4,S0-a,,,MCG +06-19-016,PGC 024453,SDSS J084225.76+371315.6
NGC2639,130.90867,50.20556,1.61,1.3,140,1.21,G,12.6,11.76,9.39,8.68,8.4,22.24,Sa,,,IRAS 08400+5023,MCG +08-16-024,PGC 024506
NGC2640,129.35258,-55.12375,4.67,1.2,104,4,G,12.08,11.02,7.72,7.01,6.72,24.18,E-S0,,,ESO 165-002,IRAS 08360-5456,PGC 024229
NGC2641,131.98954,72.89578,1.26,1.2,178,1.04,G,14.93,,10.88,10.2,9.9,24.07,S0,,,MCG +12-09-012,PGC 024722,UGC 04577
NGC2642,130.18488,-4.12172,1.92,1.3,145,1.43,G,13.42,12.65,10.56,9.95,9.53,23.35,Sbc,,,IRAS 08382-0356,MCG -01-22-033,PGC 024395
NGC2643,130.46558,19.70253,0.68,1.8,19,0.37,G,15.45,,12.64,12,11.81,23.27,S0-a,,2390,PGC 024434,SDSS J084151.73+194209.0,SDSS J084151.74+194209.1
NGC2644,130.38275,4.98033,1.64,2.5,12,0.65,G,13.49,,11.23,10.65,10.36,22.73,Sc,,,IRAS 08389+0509,MCG +01-22-016,PGC 024425
NGC2645,129.763,-46.22731,6.6,,,,OCl,7.51,7.32,,,,,,,,MWSC 1520,,
NGC2646,132.59188,73.46308,1.47,1.4,47,1.05,G,13.15,,10.38,9.67,9.37,22.73,S0,,,MCG +12-09-019,PGC 024838,UGC 04604
NGC2647,130.67958,19.65061,0.72,1.3,50,0.57,G,15.02,,11.86,11.24,10.8,23.08,S0-a,,,PGC 024463,SDSS J084243.09+193902.1,SDSS J084243.10+193902.2
NGC2648,130.66583,14.28561,3.15,2.9,151,1.08,G,12.86,11.88,9.61,8.94,8.66,23.61,Sa,,,MCG +02-22-005,PGC 024464,SDSS J084239.80+141708.2
NGC2649,131.03446,34.71725,1.47,1.1,60,1.38,G,13.16,,10.93,10.37,10.05,22.93,SABb,,,IRAS 08409+3453,MCG +06-19-018,PGC 024531
NGC2650,132.49313,70.29944,1.38,1.4,82,0.99,G,14.22,,10.75,9.96,9.69,23.37,Sb,,,MCG +12-09-020,PGC 024817,UGC 04603
NGC2651,130.97979,11.771,0.53,1.2,124,0.44,G,15.64,,12.9,12.15,11.92,22.95,Sbc,,,PGC 024521,SDSS J084355.15+114615.5,SDSS J084355.15+114615.6
NGC2654,132.29946,60.22111,4.45,5,64,0.89,G,12.67,11.69,9.5,8.73,8.46,23.79,SBab,,,IRAS 08451+6024,MCG +10-13-017,PGC 024784
NGC2655,133.90721,78.22308,3.93,1.9,16,2.06,G,10.98,10.39,7.88,7.18,6.95,22.51,S0-a,,,IRAS 08491+7824,MCG +13-07-010,PGC 025069
NGC2656,131.97113,53.87617,1.31,1.1,65,1.18,G,14.9,13.76,11.46,10.67,10.42,24.24,E-S0,,,MCG +09-15-025,PGC 024707,SDSS J084753.07+535234.2
NGC2657,131.31588,9.6455,1.28,1.2,116,1.09,G,13.93,,12.32,11.65,11.62,23.18,SBcd,,,MCG +02-23-002,PGC 024595,UGC 04573
NGC2658,130.86392,-32.65622,7.2,,,,OCl,,9.2,,,,,,,,,,
NGC2659,130.63758,-45.00053,5.1,,,,OCl,8.75,8.6,,,,,,,,,,
NGC2660,130.65829,-47.20067,3.6,,,,OCl,9.05,8.8,,,,,,,,,,
NGC2661,131.49808,12.61992,1.48,1.1,5,1.35,G,13.86,,11.81,11.15,10.86,23.36,Sc,,,IRAS 08432+1248,MCG +02-23-004,PGC 024632
NGC2662,131.38346,-15.12125,1.23,1.1,10,1.15,G,15.05,,10.7,10.03,9.72,23.77,E,,,MCG -02-23-002,PGC 024612,
NGC2663,131.28438,-33.79475,3.9,1.4,111,2.75,G,11.88,10.59,7.86,7.12,6.82,23.7,E,,,ESO 371-014,ESO-LV 371-0140,MCG -06-20-001
NGC2664,131.77929,12.60578,6.6,,,,OCl,,,,,,,,,,,,
NGC2665,131.50413,-19.30289,2,1.2,55,1.72,G,12.3,11.63,10.22,9.55,9.25,22.64,Sa,,,ESO 563-019,IRAS 08437-1907,MCG -03-23-004
NGC2666,132.44592,44.70367,,,,,OCl,,,,,,,,,,,Identification as NGC 2666 is very uncertain.,
NGC2667,132.11354,19.0195,1.03,2.8,78,0.37,G,14.76,,11.91,11.21,11.03,23.13,Sa,2667A,2410,MCG +03-23-007,PGC 024741,SDSS J084827.24+190110.1
NGC2667B,132.12571,19.04389,0.85,3,43,0.28,G,15.49,,12.79,12.05,11.96,23.21,Sbc,,2411,MCG +03-23-009,PGC 024755,SDSS J084830.16+190237.9
NGC2668,132.344,36.71033,1.23,1.9,151,0.66,G,14.85,,11.67,11.06,10.69,23.63,Sab,,,MCG +06-20-007,PGC 024791,SDSS J084922.55+364237.2
NGC2669,131.59404,-52.94753,8.4,,,,OCl,6.35,6.1,,,,,,,,,,
NGC2670,131.37283,-48.79164,4.2,,,,OCl,8.31,7.8,,,,,,,,,,
NGC2671,131.54954,-41.87717,5.1,,,,OCl,,11.6,,,,,,,,,,
NGC2672,132.34121,19.07497,3.2,1.1,100,2.87,G,12.65,11.64,9.3,8.55,8.35,24.04,E,,,MCG +03-23-010,PGC 024790,SDSS J084921.87+190429.9
NGC2673,132.35058,19.07419,1.23,1.5,167,0.81,G,14.04,,,,,23.43,E,,,PGC 024792,SDSS J084924.19+190427.5,UGC 04620
NGC2674,132.30504,-14.29422,1.04,2.1,65,0.49,G,15.88,,12.11,11.39,11.33,24.38,Sa,,,PGC 024785,,
NGC2675,133.02063,53.61731,1.51,1.4,83,1.05,G,14.3,13.26,11.07,10.4,10.11,24.05,E,,,MCG +09-15-037,PGC 024909,SDSS J085204.93+533702.6
NGC2676,132.89854,47.55767,1.2,1.1,175,1.12,G,14.46,,11.08,10.4,10.16,23.6,S0,,,MCG +08-16-032,PGC 024881,SDSS J085135.64+473327.6
NGC2677,132.50554,19.00978,0.7,1.7,169,0.41,G,15.18,,12.33,11.58,11.4,23.09,E?,,,MCG +03-23-012,PGC 024821,SDSS J085001.32+190035.1
NGC2678,132.51146,11.33811,10,1,0,10,OCl,,,,,,,,,,,,
NGC2679,132.88725,30.86536,1.85,1,165,1.85,G,14.07,,10.62,9.92,9.67,24.1,S0,,,MCG +05-21-014 NED01,PGC 024884,SDSS J085132.94+305155.2
NGC2681,133.38642,51.31367,3.97,1,70,3.97,G,11.15,10.86,8.41,7.71,7.45,22.88,S0-a,,,IRAS 08500+5130,MCG +09-15-041,PGC 024961
NGC2682,132.83388,11.81194,33,,,,OCl,7.6,6.9,,,,,,,,,,
NGC2683,133.17221,33.42175,9.48,3.5,44,2.7,G,9.99,9.69,7.31,6.6,6.33,22.76,Sb,,,IRAS 08495+3336,MCG +06-20-011,PGC 024930
NGC2684,133.72517,49.16039,1.1,1.3,49,0.84,G,13.7,13.01,11.22,10.6,10.38,22.43,SABb,,,IRAS 08514+4921,MCG +08-16-035,PGC 025024
NGC2685,133.89463,58.73439,4.33,1.9,38,2.31,G,12.16,11.35,9.25,8.58,8.35,24.03,S0-a,,,MCG +10-13-039,PGC 025065,SDSS J085534.71+584403.8
NGC2686,133.74917,49.14236,1.6,,,,GPair,,,,,,,,,,,,
NGC2686A,133.74546,49.14233,0.88,1.7,71,0.51,G,15.6,17.12,11.95,10.98,11.03,24.2,E,,,MCG +08-16-036,PGC 025026,SDSS J085458.90+490832.3
NGC2686B,133.75246,49.14244,0.48,1.4,63,0.35,G,16.66,,,,,24.05,E,,,PGC 025025,SDSS J085500.58+490832.8,
NGC2687,133.77292,49.15592,1.3,,,,GPair,,,,,,,,,,,,
NGC2687A,133.77092,49.1565,0.23,2.1,,0.11,G,17,,,,,,,,,PGC 025031,SDSS J085505.01+490923.4,
NGC2687B,133.77517,49.15611,0.69,1.8,28,0.39,G,15.6,,12.2,11.4,11.08,23.5,E-S0,,,MCG +08-16-039,PGC 025030,SDSS J085506.03+490922.0
NGC2688,133.79829,49.12261,0.47,1.3,87,0.36,G,16.41,,13.65,13.03,12.31,23.37,Sb,,,MCG +08-16-040,PGC 025048,SDSS J085511.59+490721.3
NGC2689,133.85588,49.11547,0.41,1.4,99,0.3,G,16.82,,13.7,13.01,12.59,23.85,E,,,PGC 025042,SDSS J085525.41+490655.6,
NGC2690,133.15846,-2.60322,1.7,4.4,20,0.39,G,13.94,,10.56,9.92,9.64,23.02,Sab,,,MCG +00-23-008,PGC 024926,UGC 04647
NGC2691,133.69308,39.53867,1.26,1.4,166,0.9,G,13.93,13.47,11.29,10.55,10.27,23.01,Sa,,,IRAS 08515+3943,MCG +07-18-064,PGC 025020
NGC2692,134.24171,52.06594,1.25,2.3,163,0.55,G,13.96,12.75,10.77,10.13,9.9,22.71,Sab,,,MCG +09-15-057,PGC 025142,SDSS J085658.00+520357.4
NGC2693,134.24696,51.34744,2,1.5,158,1.37,G,12.82,11.86,9.59,8.92,8.6,23.17,E,,,MCG +09-15-055,PGC 025144,SDSS J085659.26+512050.7
NGC2694,134.24692,51.33197,0.81,1.6,177,0.5,G,15.18,14.14,12.08,11.39,11.46,23.56,E,,,MCG +09-15-056,PGC 025143,SDSS J085659.25+511955.0
NGC2695,133.61279,-3.06703,1.63,1.1,161,1.45,G,12.84,12.02,9.77,9.06,8.86,22.65,S0,,,MCG +00-23-010,PGC 025003,
NGC2696,132.67521,-5.00978,1.03,1.1,25,0.95,G,15.88,,11.34,10.62,10.22,24.19,E,,,MCG -01-23-004,PGC 024851,
NGC2697,133.7475,-2.98761,1.63,1.7,123,0.96,G,13.47,,10.75,10.08,9.89,23.26,S0-a,,,IRAS 08524-0247,MCG +00-23-011,PGC 025029
NGC2698,133.90213,-3.18394,1.47,2.8,96,0.53,G,13.12,11.86,9.82,9.13,8.84,22.75,S0-a,,,MCG +00-23-012,PGC 025067,
NGC2699,133.95333,-3.12758,1.41,1.9,40,0.76,G,13.47,,10.28,9.63,9.37,23.25,E,,,MCG +00-23-014,PGC 025075,
NGC2701,134.77392,53.77167,1.94,1.5,25,1.3,G,12.78,12.36,10.56,10.1,9.68,22.62,Sc,,,IRAS 08554+5357,MCG +09-15-063,PGC 025237
NGC2704,134.19871,39.38219,1.04,1,120,1.01,G,14.32,,11.72,11,10.76,23.15,Sab,,2424,MCG +07-19-005,PGC 025134,SDSS J085647.69+392255.8
NGC2706,134.05129,-2.56344,1.67,2.9,168,0.57,G,13.71,,10.68,9.86,9.53,22.75,Sbc,,,IRAS 08536-0222,MCG +00-23-017,PGC 025102
NGC2708,134.03354,-3.36011,2.93,2.8,18,1.06,G,12.81,11.96,9.81,9.15,8.88,23.18,SABb,2727,,IRAS 08535-0309,MCG +00-23-015,PGC 025097
NGC2709,134.05358,-3.24322,0.79,1.2,95,0.65,G,15.02,,12.15,11.45,11.37,23.21,S0,,,MCG +00-23-016,PGC 025103,
NGC2710,134.95146,55.70639,2.02,2.1,119,0.97,G,13.74,13.08,11.68,11.18,10.45,23.48,SBb,,,IRAS 08560+5554,MCG +09-15-066,PGC 025258
NGC2711,134.34833,17.28803,0.56,1.5,158,0.38,G,14.65,,12.66,11.96,11.81,22.18,SBa,,,IRAS 08545+1728,MCG +03-23-020,PGC 025164
NGC2712,134.87696,44.91389,2.93,1.8,1,1.59,G,12.78,12.19,10.01,9.37,9.1,23.41,SBb,,,IRAS 08561+4506,MCG +08-17-003,PGC 025248
NGC2713,134.33546,2.92131,3.37,2.9,106,1.15,G,12.79,11.82,9.26,8.56,8.31,23.48,SBb,,,IRAS 08547+0306,MCG +01-23-006,PGC 025161
NGC2714,133.37425,-59.21711,1.37,1.2,50,1.18,G,14,,9.87,9.1,8.82,23.5,E,,,ESO 125-007,PGC 024959,
NGC2715,137.02583,78.08517,4.2,3,20,1.41,G,12.04,11.49,9.52,8.68,8.6,23,SABc,,,IRAS 09018+7817,MCG +13-07-015,PGC 025676
NGC2716,134.3995,3.09022,1.63,1.4,45,1.14,G,13.06,12.19,10.15,9.45,9.19,22.84,S0-a,,,MCG +01-23-007,PGC 025172,SDSS J085735.87+030524.8
NGC2717,134.25467,-24.67375,2.03,1.2,12,1.69,G,13.4,12.29,9.62,8.84,8.61,23.68,E-S0,,,ESO 496-021,ESO-LV 496-0210,MCG -04-21-015
NGC2718,134.71029,6.293,1.72,1.6,152,1.09,G,13.32,14.24,10.56,9.86,9.51,23.12,Sab,,,IRAS 08561+0629,MCG +01-23-015,PGC 025225
NGC2719,135.06442,35.72764,1.17,3.9,132,0.3,G,14.04,14,12.49,12.2,11.83,21.89,IB,,,MCG +06-20-017,PGC 025281,UGC 04718
NGC2719A,135.06642,35.72014,0.49,1.2,150,0.4,G,14.5,,13.68,13.31,12.98,21.5,I,,,MCG +06-20-018,PGC 025284,UGC 04718 NOTES01
NGC2720,134.78358,11.14922,1.26,1.1,40,1.11,G,14.22,,10.67,9.96,9.68,23.47,E-S0,,,MCG +02-23-016,PGC 025238,SDSS J085908.06+110857.2
NGC2721,134.7355,-4.90194,1.85,1.4,164,1.33,G,13.22,,10.63,10,9.72,22.94,SBbc,,,IRAS 08564-0442,MCG -01-23-015,PGC 025231
NGC2722,134.69238,-3.71011,1.83,1.9,80,0.95,G,13.46,,11.22,10.62,10.41,23,Sbc,2733,,IRAS 08562-0330,MCG -01-23-014,PGC 025221
NGC2723,135.05983,3.17775,1.14,1.1,65,1.04,G,14.28,,10.75,10.02,9.79,23.3,S0,,,MCG +01-23-017,PGC 025280,SDSS J090014.36+031039.8
NGC2724,135.25758,35.76206,1.2,1.8,175,0.68,G,14.74,,14.03,13.39,12.67,23.63,Sc,,,MCG +06-20-019,PGC 025331,UGC 04726
NGC2725,135.26342,11.09839,0.67,1.2,14,0.58,G,14.29,,12.36,11.79,11.42,22.17,SABb,,,MCG +02-23-018,PGC 025332,SDSS J090103.23+110553.9
NGC2726,136.23654,59.93292,1.53,3.3,87,0.46,G,13.34,13,10.75,10.03,9.79,22.45,Sa,,,2MASX J09045685+5955586,IRAS 09010+6007,MCG +10-13-054
NGC2728,135.42054,11.08297,0.98,1.6,55,0.63,G,15.24,,12.71,12.07,11.97,23.62,SABb,,,MCG +02-23-020,PGC 025360,SDSS J090140.93+110458.7
NGC2729,135.36925,3.72061,1.06,1.7,1,0.64,G,14.14,,11.2,10.49,10.2,23.09,S0,,,MCG +01-23-018,PGC 025352,SDSS J090128.61+034314.0
NGC2730,135.56596,16.83831,1.45,1.5,72,0.95,G,13.78,,12.47,11.89,11.82,23.11,Sd,,,IRAS 08594+1702,MCG +03-23-028,PGC 025384
NGC2731,135.53504,8.30167,0.72,1.5,72,0.49,G,14.12,,11.45,10.82,10.49,21.85,SABb,,,IRAS 08594+0829,MCG +02-23-021,PGC 025376
NGC2732,138.35304,79.18733,1.81,2.5,66,0.71,G,12.85,11.89,9.87,9.15,8.94,22.82,S0,,,MCG +13-07-016,PGC 025999,UGC 04818
NGC2734,135.75671,16.86361,0.92,1.2,88,0.78,G,15.74,,12.36,11.55,11.1,24.3,S0-a,,,PGC 025413,SDSS J090301.60+165148.9,SDSS J090301.61+165148.9
NGC2735,135.661,25.93453,1.42,2.7,96,0.53,G,14.12,13.76,10.88,10.15,9.82,22.95,SABb,,,MCG +04-22-002,PGC 025399,UGC 04744
NGC2735A,135.67446,25.93839,0.3,1.1,52,0.27,G,15.16,,13.42,12.55,12.61,21.23,I,,,MCG +04-22-003,PGC 025402,SDSS J090241.86+255618.2
NGC2736,135.07058,-45.94806,30,4.3,,7,HII,,,,,,,,,,Pencil Nebula,,
NGC2737,135.99883,21.90656,0.95,2.5,61,0.38,G,14.6,,11.32,10.62,10.35,22.55,Sab,,,MCG +04-22-005,PGC 025453,SDSS J090359.71+215423.6
NGC2738,136.00188,21.96761,1.36,2.2,53,0.62,G,13.79,,11.21,10.47,10.34,22.75,Sbc,,,IRAS 09011+2210,MCG +04-22-006,PGC 025454
NGC2739,136.51179,51.74469,0.86,2.5,93,0.35,G,15.5,,12.44,11.77,11.62,23.49,Sa,,,MCG +09-15-085,PGC 025530,SDSS J090602.81+514441.0
NGC2740,136.52079,51.73531,0.73,1.2,52,0.61,G,15.02,,12.7,12,11.75,23.12,SBab,,,MCG +09-15-086,PGC 025531,SDSS J090604.97+514407.2
NGC2741,135.81875,18.26108,0.67,1.5,77,0.44,G,15.49,,13.12,12.41,12.14,23.14,Sab,,,IRAS 09004+1827,PGC 025425,SDSS J090316.37+181539.9
NGC2742,136.88971,60.47933,2.86,1.9,87,1.49,G,12.08,11.49,9.71,9.12,8.81,22.56,Sc,,,IRAS 09036+6040,MCG +10-13-057,PGC 025640
NGC2742A,137.49196,62.24736,1.57,2.3,89,0.67,G,13.94,,10.89,10.13,9.72,23.17,Sb,,,IRAS 09059+6227,MCG +10-13-060,PGC 025836
NGC2743,136.22525,25.00392,1.1,1.5,99,0.75,G,14.19,,11.41,10.88,10.71,22.76,Sd,,,IRAS 09019+2512,MCG +04-22-009,PGC 025496
NGC2744,136.16208,18.46028,1.2,,,,GPair,,,,,,,,,,UGC 04757,,
