alpha,delta,id,diameter
285.95513,+2.30840,Sh 2-72,25.0
287.21484,+5.59764,Sh 2-74,3.0
290.82617,+13.96434,Sh 2-79,40.0
291.14230,+20.78252,Sh 2-83,2.0
291.95789,+31.45301,Sh 2-94,25.0
292.17540,+32.68734,Sh 2-96,25.0
292.58106,+18.25566,Sh 2-82,9.0
293.89626,+29.59500,Sh 2-91,120.0
295.78303,+23.26993,Sh 2-86,40.0
296.47282,+25.33963,Sh 2-88,25.0
296.60174,+24.62352,Sh 2-87,10.0
296.65718,+28.24047,Sh 2-92,50.0
297.06107,+1.14195,Sh 2-77,8.0
297.25857,+18.39297,Sh 2-84,15.0
297.31555,+26.85997,Sh 2-90,6.0
297.51784,+26.47751,Sh 2-89,5.0
298.76540,+27.19954,Sh 2-93,1.0
299.02384,+30.25067,Sh 2-97,10.0
299.42725,-14.11469,Sh 2-63,55.0
299.69307,+31.42019,Sh 2-98,15.0
299.99516,+35.28818,Sh 2-101,20.0
300.20662,+33.48905,Sh 2-99,5.0
300.31575,+11.78929,Sh 2-81,10.0
300.45692,+33.50677,Sh 2-100,4.0
301.21620,+29.17656,BFS 2,5.0
303.00619,+38.33404,Sh 2-105,18.0
304.41935,+36.73974,Sh 2-104,7.0
305.64931,+40.24469,Sh 2-108,180.0
306.87059,+37.38278,Sh 2-106,3.0
306.98885,+30.51650,BFS 3,1.0
307.93588,+30.60350,Sh 2-102,40.0
308.40549,+40.33873,Sh 2-109,1080.0
308.46779,+45.65570,Sh 2-112,15.0
308.63365,+46.87302,Sh 2-115,50.0
310.68547,+36.33058,Sh 2-107,5.0
310.84961,+63.21498,Sh 2-130,3.0
314.69749,+44.31168,Sh 2-117,240.0
315.29602,+50.36382,BFS 4,0.5
315.93610,+49.86599,Sh 2-120,1.0
316.31425,+49.66726,Sh 2-121,1.0
315.70679,+59.51537,BFS 9,1.0
317.94372,+59.95615,Sh 2-129,140.0
318.51542,+47.94116,BFS 5,1.0
319.11041,+68.26012,Sh 2-136,5.0
319.61683,+43.92797,Sh 2-119,160.0
320.05592,+55.47947,BFS 7,5.0
320.20230,+32.44639,Sh 2-110,50.0
320.19925,+38.41308,Sh 2-113,15.0
320.29810,+38.69673,Sh 2-114,9.0
322.17527,+54.61927,Sh 2-127,2.0
322.23712,+64.30295,Sh 2-133,80.0
323.04390,+55.85518,Sh 2-128,1.0
324.07395,+52.44146,BFS 6,3.0
324.25298,+40.20854,Sh 2-118,480.0
324.59592,+50.34292,Sh 2-124,70.0
324.73863,+57.47673,Sh 2-131,170.0
325.30842,+52.57826,BFS 8,5.0
325.47408,+30.09525,Sh 2-111,90.0
325.58565,+44.52897,Sh 2-123,13.0
325.73333,+66.11296,BFS 11,10.0
328.38234,+47.26975,Sh 2-125,9.0
329.09897,+58.02165,BFS 10,1.0
329.29031,+64.68888,Sh 2-137,90.0
332.87568,+59.39725,Sh 2-134,160.0
334.68784,+56.11780,Sh 2-132,90.0
334.77978,+63.26805,Sh 2-140,30.0
335.44932,+58.76939,Sh 2-135,15.0
336.38343,+64.30462,Sh 2-145,90.0
337.16488,+61.63944,Sh 2-141,5.0
334.93172,+87.75429,Sh 2-178,420.0
337.78832,+65.10730,Sh 2-150,40.0
338.17113,+58.47462,Sh 2-138,1.0
338.35822,+38.57490,Sh 2-126,160.0
338.72603,+58.34228,Sh 2-139,25.0
341.21010,+59.87979,Sh 2-144,4.0
341.90095,+58.04752,Sh 2-142,30.0
342.38095,+57.76490,Sh 2-143,4.0
342.36901,+59.91489,Sh 2-146,2.0
342.75125,+59.16545,BFS 12,12.0
342.84032,+61.16559,Sh 2-154,60.0
343.08378,+59.01593,BFS 13,15.0
343.91374,+58.46709,Sh 2-147,2.0
344.06455,+58.53396,Sh 2-148,2.0
344.08966,+58.55066,Sh 2-149,1.0
344.16785,+62.60078,Sh 2-155,60.0
344.69303,+58.80146,Sh 2-152,2.0
344.81932,+58.73496,Sh 2-153,5.0
345.52129,+59.46917,BFS 14,70.0
345.75861,+57.06946,Sh 2-151,20.0
345.94522,+60.40302,BFS 16,1.5
346.18628,+60.06998,BFS 15,0.5
346.29884,+60.25344,Sh 2-156,2.0
346.31421,+60.55346,BFS 19,2.0
346.45132,+64.67030,Sh 2-160,80.0
346.47948,+60.25365,BFS 17,0.5
346.56762,+60.27042,BFS 18,1.0
347.19904,+14.92113,Sh 2-122,40.0
348.41096,+61.50573,Sh 2-158,10.0
348.86341,+61.85617,Sh 2-161B,55.0
348.86341,+61.85617,Sh 2-161A,55.0
348.94213,+61.12291,Sh 2-159,7.0
349.02202,+60.03965,Sh 2-157,90.0
350.17748,+61.19068,Sh 2-162,40.0
353.33077,+60.77628,Sh 2-163,10.0
353.88326,+64.87659,Sh 2-167,2.0
354.59314,+59.96029,Sh 2-164,3.0
354.94230,+61.92711,Sh 2-165,10.0
355.54943,+60.96071,Sh 2-166,10.0
356.70928,+80.92778,Sh 2-174,10.0
358.27334,+60.46149,Sh 2-168,7.0
358.50032,+60.36152,Sh 2-169,5.0
000.41669,+64.61166,Sh 2-170,20.0
